,Location,Date,End Date (if bulk sample),Time,Replicate,Collecter,Type,Project,Comment,"This cell checks to make sure the ID and the Sample Name match - If its blank, its good!",Analyzed on Machine,Sample Name,Processed Delta 2H,Processed Delta 2H StDev,Processed Delta 18O,Processed Delta 18O StDev,Processed Delta 17O,Processed Delta 17O StDev,Comments,,
1,Tan Brook Up,6/3/21,,10:45:00 AM,1,CO,Surface,Other,,,7/7/2022,1,-55.558532,1.24E-01,-8.533444,6.73E-02,-4.49E+00,3.92E-02,,,
2,Tan Brook Up,6/3/21,,11:00:00 AM,2,CO,Surface,Other,,,7/7/2022,2,-53.819837,2.70E+00,-8.286339,2.35E-01,-4.32E+00,1.19E-01,,,
3,Campus Pond Down,6/3/21,,11:05:00 AM,3,CO,Surface,Other,,,7/7/2022,3,-54.137338,1.30E-01,-8.058242,3.01E-02,-4.22E+00,1.82E-02,,,
4,Tan Brook Up,6/8/21,,-,1,CO,Surface,Other,,,7/7/2022,4,-25.959682,1.10E-01,-3.479024,3.53E-02,-1.81E+00,3.15E-02,,,
5,Campus Pond Up,6/8/21,,-,2,CO,Surface,Other,,,7/7/2022,5,-21.929366,1.01E-01,-2.82195,3.08E-02,-1.48E+00,1.39E-02,,,
6,Campus Pond Down,6/8/21,,-,3,CO,Surface,Other,,,7/7/2022,6,-36.742311,3.30E-01,-5.623128,3.77E-02,-2.97E+00,2.81E-02,,,
7,Tan Brook Down,6/8/21,,-,4,CO,Surface,Other,,,7/7/2022,7,-28.287628,8.84E-02,-4.360612,3.43E-02,-2.36E+00,2.43E-02,,,
8,Tan Brook Up,6/10/21,,-,1,CO,Surface,Other,,,7/19/2022,8,-53.330502,8.55E-01,-8.329719,1.11E-01,-4.40E+00,4.64E-02,"3-2Hchk warnings, 1 rejected (svol). 2 samples redone on 7/20/2022 as '8 perforated' and '8 redo'. '8 perforated' is the same sample in the same vial analyzed on 7/19/2022. '8 redo' is in a new vial.",,
9,Campus Pond Up,6/10/21,,-,2,CO,Surface,Other,,,7/19/2022,9,-45.701345,1.76E-01,-6.962477,2.59E-02,-3.67E+00,5.43E-03,,,
10,Campus Pond Down,6/10/21,,-,3,CO,Surface,Other,,,7/19/2022,10,-35.981319,1.62E-01,-5.302409,5.50E-02,-2.83E+00,4.06E-02,,,
