#,Fecha/hora (EDT/EST),"Temperatura , °C","Presión absoluta , kPa"
1,10/12/2025 07:33:40,17.93,101.068
2,10/12/2025 07:43:40,18.67,101.116
3,10/12/2025 07:53:40,18.52,101.160
4,10/12/2025 08:03:40,18.33,101.188
5,10/12/2025 08:13:40,18.16,101.199
6,10/12/2025 08:23:40,18.03,101.181
7,10/12/2025 08:33:40,16.47,101.538
8,10/12/2025 08:43:40,15.60,101.500
9,10/12/2025 08:53:40,15.08,101.233
10,10/12/2025 09:03:40,15.02,101.570
11,10/12/2025 09:13:40,15.02,101.552
12,10/12/2025 09:23:40,14.95,101.539
13,10/12/2025 09:33:40,14.92,101.523
14,10/12/2025 09:43:40,15.53,101.597
15,10/12/2025 09:53:40,15.81,101.617
16,10/12/2025 10:03:40,15.89,101.618
17,10/12/2025 10:13:40,15.89,101.583
18,10/12/2025 10:23:40,16.06,101.217
19,10/12/2025 10:33:40,16.22,101.468
20,10/12/2025 10:43:40,16.34,101.423
21,10/12/2025 10:53:40,16.43,101.433
22,10/12/2025 11:03:40,16.49,101.433
23,10/12/2025 11:13:40,16.77,101.656
24,10/12/2025 11:23:40,17.22,101.496
25,10/12/2025 11:33:40,17.17,101.542
26,10/12/2025 11:43:40,17.22,101.740
27,10/12/2025 11:53:40,15.37,104.341
28,10/12/2025 12:03:40,14.82,101.747
29,10/12/2025 12:13:40,15.96,101.757
30,10/12/2025 12:23:40,15.54,101.820
31,10/12/2025 12:33:40,15.58,101.814
32,10/12/2025 12:43:40,15.52,101.792
33,10/12/2025 12:53:40,15.41,101.771
34,10/12/2025 13:03:40,15.28,101.776
35,10/12/2025 13:13:40,15.16,101.785
36,10/12/2025 13:23:40,15.03,101.798
37,10/12/2025 13:33:40,14.86,101.790
38,10/12/2025 13:43:40,14.70,101.774
39,10/12/2025 13:53:40,14.57,101.809
40,10/12/2025 14:03:40,14.51,101.805
41,10/12/2025 14:13:40,14.50,101.800
42,10/12/2025 14:23:40,14.55,101.821
43,10/12/2025 14:33:40,14.60,101.820
44,10/12/2025 14:43:40,14.58,101.823
45,10/12/2025 14:53:40,14.52,101.819
46,10/12/2025 15:03:40,14.50,101.817
47,10/12/2025 15:13:40,14.43,101.795
48,10/12/2025 15:23:40,14.33,101.787
49,10/12/2025 15:33:40,14.18,101.768
50,10/12/2025 15:43:40,14.05,101.772
51,10/12/2025 15:53:40,13.95,101.755
52,10/12/2025 16:03:40,13.89,101.747
53,10/12/2025 16:13:40,13.80,101.767
54,10/12/2025 16:23:40,13.65,101.756
55,10/12/2025 16:33:40,13.45,101.755
56,10/12/2025 16:43:40,13.24,101.775
57,10/12/2025 16:53:40,13.03,101.777
58,10/12/2025 17:03:40,12.81,101.769
59,10/12/2025 17:13:40,12.62,101.760
60,10/12/2025 17:23:40,12.46,101.761
61,10/12/2025 17:33:40,12.32,101.737
62,10/12/2025 17:43:40,12.19,101.737
63,10/12/2025 17:53:40,12.10,101.774
64,10/12/2025 18:03:40,12.01,101.767
65,10/12/2025 18:13:40,11.93,101.797
66,10/12/2025 18:23:40,11.86,101.809
67,10/12/2025 18:33:40,11.80,101.809
68,10/12/2025 18:43:40,11.75,101.801
69,10/12/2025 18:53:40,11.71,101.771
70,10/12/2025 19:03:40,11.66,101.763
71,10/12/2025 19:13:40,11.61,101.732
72,10/12/2025 19:23:40,11.56,101.729
73,10/12/2025 19:33:40,11.53,101.727
74,10/12/2025 19:43:40,11.52,101.757
75,10/12/2025 19:53:40,11.51,101.747
76,10/12/2025 20:03:40,11.50,101.764
77,10/12/2025 20:13:40,11.48,101.772
78,10/12/2025 20:23:40,11.46,101.761
79,10/12/2025 20:33:40,11.44,101.746
80,10/12/2025 20:43:40,11.43,101.767
81,10/12/2025 20:53:40,11.43,101.736
82,10/12/2025 21:03:40,11.45,101.694
83,10/12/2025 21:13:40,11.48,101.683
84,10/12/2025 21:23:40,11.52,101.677
85,10/12/2025 21:33:40,11.58,101.646
86,10/12/2025 21:43:40,11.62,101.649
87,10/12/2025 21:53:40,11.66,101.644
88,10/12/2025 22:03:40,11.69,101.646
89,10/12/2025 22:13:40,11.72,101.634
90,10/12/2025 22:23:40,11.74,101.662
91,10/12/2025 22:33:40,11.74,101.631
92,10/12/2025 22:43:40,11.72,101.653
93,10/12/2025 22:53:40,11.70,101.660
94,10/12/2025 23:03:40,11.67,101.662
95,10/12/2025 23:13:40,11.64,101.673
96,10/12/2025 23:23:40,11.60,101.669
97,10/12/2025 23:33:40,11.54,101.665
98,10/12/2025 23:43:40,11.49,101.657
99,10/12/2025 23:53:40,11.41,101.647
100,10/13/2025 00:03:40,11.33,101.627
101,10/13/2025 00:13:40,11.25,101.630
102,10/13/2025 00:23:40,11.16,101.614
103,10/13/2025 00:33:40,11.08,101.635
104,10/13/2025 00:43:40,10.99,101.618
105,10/13/2025 00:53:40,10.90,101.598
106,10/13/2025 01:03:40,10.82,101.574
107,10/13/2025 01:13:40,10.74,101.586
108,10/13/2025 01:23:40,10.66,101.580
109,10/13/2025 01:33:40,10.58,101.583
110,10/13/2025 01:43:40,10.50,101.577
111,10/13/2025 01:53:40,10.42,101.583
112,10/13/2025 02:03:40,10.34,101.577
113,10/13/2025 02:13:40,10.25,101.584
114,10/13/2025 02:23:40,10.17,101.608
115,10/13/2025 02:33:40,10.09,101.624
116,10/13/2025 02:43:40,10.01,101.591
117,10/13/2025 02:53:40,9.93,101.598
118,10/13/2025 03:03:40,9.85,101.637
119,10/13/2025 03:13:40,9.78,101.618
120,10/13/2025 03:23:40,9.73,101.613
121,10/13/2025 03:33:40,9.67,101.596
122,10/13/2025 03:43:40,9.61,101.568
123,10/13/2025 03:53:40,9.55,101.550
124,10/13/2025 04:03:40,9.49,101.520
125,10/13/2025 04:13:40,9.46,101.530
126,10/13/2025 04:23:40,9.42,101.558
127,10/13/2025 04:33:40,9.39,101.560
128,10/13/2025 04:43:40,9.37,101.558
129,10/13/2025 04:53:40,9.36,101.567
130,10/13/2025 05:03:40,9.37,101.523
131,10/13/2025 05:13:40,9.37,101.536
132,10/13/2025 05:23:40,9.37,101.568
133,10/13/2025 05:33:40,9.38,101.537
134,10/13/2025 05:43:40,9.36,101.540
135,10/13/2025 05:53:40,9.34,101.552
136,10/13/2025 06:03:40,9.32,101.572
137,10/13/2025 06:13:40,9.31,101.576
138,10/13/2025 06:23:40,9.30,101.575
139,10/13/2025 06:33:40,9.31,101.562
140,10/13/2025 06:43:40,9.31,101.558
141,10/13/2025 06:53:40,9.31,101.563
142,10/13/2025 07:03:40,9.33,101.542
143,10/13/2025 07:13:40,9.35,101.557
144,10/13/2025 07:23:40,9.37,101.559
145,10/13/2025 07:33:40,9.41,101.557
146,10/13/2025 07:43:40,9.47,101.566
147,10/13/2025 07:53:40,9.52,101.592
148,10/13/2025 08:03:40,9.57,101.605
