Sample_ID,Florida_County_Name,Latitude,Longitude
MRT-1341-038,Martin_County,"26°58'18.408""N","80°43'42.3228""W"
CIT-0960-028,Citrus_county,"28°56'28""N","82°22'38""W"
CLR-1911-093,Collier_County,"25°56'25.8""N","81°28'12.6""W"
FLG-0387-004,Flagler_County,"29°34'53.5008""N","81°12'40.0068""W"
FLG-0388-005,Flagler_County,"29°35'32.0712""N","81°12'19.8072""W"
FLG-0391-008,Flagler_County,"29°34'10.8696""N","81°12'17.28""W"
FLG-0392-009,Flagler_County,"29°33'48.4092""N","81°12'34.164""W"
FLG-1395-012,Flagler_County,"29°40'04.1""N","81°12'59.2""W"
FLG-1548-015,Flagler_County,"29°36'56.52""N","81°12'17.28""W"
FLG-1552-019,Flagler_County,"29°34'24.96""N","81°13'58.44""W"
FLG-1554-021,Flagler_County,"29°39'12.96""N","81°14'33""W"
FLG-1555-022,Flagler_County,"29°39'32.76""N","81°14'13.56""W"
IDR-0073-005,Indian_River_County,"27°59'16.8""N","80°40'15.6""W"
IDR-0074-006,Indian_River_County,"28°0'50.4""N","80°38'45.6""W"
IDR-0090-011,Indian_River_County,"27°35'19.9752""N","80°24'20.394""W"
IDR-1412-017,Indian_River_County,"27°39'55.88""N","80°21'37.42""W"
IDR-1414-019,Indian_River_County,"27°47'46.35""N","80°25'27.51""W"
IDR-1720-021,Indian_River_County,"27°48'8""N","80°25'53""W"
MRT-0142-003,Martin_County,"27°6'1.3212""N","80°9'56.412""W"
CLR-1916-098,Collier_County,"25°53'29.4""N","81°16'14.7""W"
MRT-0148-008,Martin_County,"27°9'53.8488""N","80°10'57.0864""W"
MRT-0154-011,Martin_County,"27°12'21.5892""N","80°22'18.9048""W"
MRT-0175-012,Martin_County,"27°12'0.757698""N","80°9'58.196387""W"
MRT-0185-016,Martin_County,"27°12'9.062974""N","80°11'57.247200""W"
MRT-0746-022,Martin_County,"27°12'9""N","80°8'29.76""W"
MRT-1308-028,Martin_County,"27°1'34.788""N","80°46'59.0664""W"
MRT-1309-029,Martin_County,"27°0'4.896""N","80°47'36.3444""W"
MRT-1310-030,Martin_County,"26°58'27.3""N","80°47'40.002""W"
MRT-1327-034,Martin_County,"26°58'17.652""N","80°45'38.4012""W"
CLR-1919-101,Collier_County,"25°51'34""N","81°6'2.2""W"
MRT-1361-044,Martin_County,"27°5'26.844""N","80°40'0.534""W"
MRT-1362-045,Martin_County,"27°4'7.32""N","80°39'43.3836""W"
