Batch Number,Sample ID,PFOA,PFNA,?PFOS,PFBS,FBSA,PFHxA,PFHpA,PFHxPA,NADONA,FHxSA,Syn35,PFDA,PFDoA,Oak6,Oak10,Syn72,6_6PFPi,PFPrS,PFPeS,PFHxS,P4MOA,PFUdA,PFECHS,Syn45,9Cl-PF3ONS,Oak8,Syn32,11Cl-PF3OUDS,Syn53,4_2FTS,PFNS,SUM(PFAS)
10,MRT-1341-038,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
10,IDR-0073-005,2.8,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
10,IDR-1720-021,5.2,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3
10,MRT-0142-003,5.0,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7
10,MRT-0154-011,13.0,2.6,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6
10,MRT-0185-016,3.8,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3
10,MRT-1308-028,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
10,MRT-1309-029,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3
10,MRT-1310-030,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
10,MRT-1327-034,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3
10,MRT-1361-044,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6
10,MRT-1362-045,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
10,CLR-1946-103,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
10,VOL-0942-003,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
10,VOL-1079-006,4.5,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7
10,VOL-1080-007,4.0,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3
10,DIX-0113-005,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1
10,IDR-0069-001,3.9,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8
10,IDR-0070-002,4.6,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8
10,IDR-0089-010,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9
10,IDR-1407-012,4.2,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
10,IDR-1409-014,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
10,IDR-1719-020,5.4,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1
10,MRT-0139-001,3.7,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7
10,MRT-0146-006,6.2,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7
10,MRT-0147-007,7.0,2.7,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8
10,MRT-0150-010,2.9,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7
10,MRT-0176-013,4.0,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8
10,MRT-0178-014,4.8,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3
10,MRT-0179-015,5.9,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3
10,MRT-0186-017,9.2,2.9,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0
10,MRT-0245-018,6.7,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8
10,MRT-0246-019,2.5,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8
10,MRT-0745-021,5.3,,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2
10,MRT-0747-023,3.9,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
10,MRT-0748-024,5.0,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
10,MRT-0749-025,6.7,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1
10,MRT-1292-027,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
10,MRT-1324-031,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
10,MRT-1326-033,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
10,MRT-1340-037,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2
10,MRT-1353-041,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
10,MRT-1363-046,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
10,MRT-1369-049,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1
10,MRT-1370-050,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
