wqms_id,dates,obs,unit,variable,streamflow,obs(ng/L)
wqms_01200301,8/17/2013,0.0091,ug/l,PFOA,,9.1
wqms_01200301,10/17/2013,0.0091,ug/l,PFOA,,9.1
wqms_01200302,8/18/2013,0.007,ug/l,PFOA,,7
wqms_01200302,12/2/2013,0.007,ug/l,PFOA,,7
wqms_01200303,8/18/2013,0.00365,ug/l,PFOA,,3.65
wqms_01200303,12/2/2013,0.0063,ug/l,PFOA,,6.3
wqms_01200304,8/19/2013,0.02,ug/l,PFOA,1088.242554,20
wqms_01200304,10/22/2013,0.02,ug/l,PFOA,1638.214233,20
wqms_01200305,8/20/2013,0.006,ug/l,PFOA,1354.684204,6
wqms_01200305,12/2/2013,0.006,ug/l,PFOA,1366.672607,6
wqms_01200306,8/21/2013,0.018,ug/l,PFOA,1741.796997,18
wqms_01200306,10/22/2013,0.018,ug/l,PFOA,1669.722534,18
wqms_01200307,7/2/2019,0.001921495,ug/l,PFOA,,1.921494667
wqms_01200308,7/2/2019,0.002352347,ug/l,PFOA,,2.352347333
wqms_01200309,7/2/2019,0.001955185,ug/l,PFOA,,1.9551845
wqms_01200310,7/3/2019,0.001348345,ug/l,PFOA,,1.348345333
wqms_01200311,7/3/2019,0.002389099,ug/l,PFOA,2138.205811,2.389098667
wqms_01200312,8/18/2007,0.031734408,ug/l,PFOA,,31.73440765
wqms_01200313,8/19/2007,0.028716544,ug/l,PFOA,,28.71654354
wqms_01200314,8/19/2007,0.040361515,ug/l,PFOA,1556.303711,40.3615149
wqms_01200315,8/21/2007,0.029997963,ug/l,PFOA,1690.358276,29.99796281
wqms_01200316,8/21/2007,0.037862868,ug/l,PFOA,1705.759766,37.8628682
wqms_01200317,8/17/2007,0.0168,ug/l,PFOA,,16.8
wqms_01200318,8/18/2007,0.03976105,ug/l,PFOA,,39.76104973
wqms_01200319,8/18/2007,0.029603202,ug/l,PFOA,,29.60320184
wqms_01900035,5/27/2011,0.01,ug/l,PFOA,,10
wqms_01900035,6/29/2011,0.01,ug/l,PFOA,,10
wqms_01900035,8/25/2011,0.01,ug/l,PFOA,,10
wqms_01900035,10/20/2011,0.01,ug/l,PFOA,,10
wqms_01900035,3/12/2012,0.025,ug/l,PFOA,,25
wqms_01900035,4/10/2012,0.025,ug/l,PFOA,,25
wqms_01900035,5/10/2016,0.005,ug/l,PFOA,,5
wqms_01900035,9/8/2016,0.015,ug/l,PFOA,,15
wqms_01900040,6/25/2019,0.006,ug/l,PFOA,,
wqms_01900040,7/23/2019,0.008,ug/l,PFOA,,
wqms_01900040,8/20/2019,0.008,ug/l,PFOA,,
wqms_01900040,9/17/2019,0.004,ug/l,PFOA,,6
wqms_01900040,10/15/2019,0.014,ug/l,PFOA,,8
wqms_01900040,11/13/2019,0.018,ug/l,PFOA,,8
wqms_01900040,12/13/2019,0.018,ug/l,PFOA,,4
wqms_01900040,1/20/2023,0.0029,ug/l,PFOA,,14
wqms_01900040,2/17/2023,0.0044,ug/l,PFOA,,18
wqms_01900040,3/17/2023,0.003,ug/l,PFOA,,18
wqms_01900040,4/14/2023,0.0184,ug/l,PFOA,,2.9
wqms_01900040,5/12/2023,0.0038,ug/l,PFOA,,4.4
wqms_01900040,6/9/2023,0.0052,ug/l,PFOA,,3
wqms_01900040,7/7/2023,0.0057,ug/l,PFOA,,18.4
wqms_01900040,8/4/2023,0.003,ug/l,PFOA,,3.8
wqms_01900040,9/1/2023,0.0123,ug/l,PFOA,,5.2
wqms_01900040,9/29/2023,0.0035,ug/l,PFOA,,5.7
wqms_01900040,10/27/2023,0.007,ug/l,PFOA,,3
wqms_01900040,11/24/2023,0.0049,ug/l,PFOA,,12.3
wqms_01900040,12/22/2023,0.0044,ug/l,PFOA,,3.5
wqms_01900056,2/26/2021,0.0011,ug/l,PFOA,,7
wqms_01900056,5/20/2021,0.0027,ug/l,PFOA,,4.9
wqms_01900056,8/18/2021,0.002,ug/l,PFOA,,4.4
wqms_01900056,11/9/2021,0.0011,ug/l,PFOA,,1.1
wqms_01900056,3/15/2023,0.0017,ug/l,PFOA,,2.7
wqms_01900056,4/24/2023,0.0028,ug/l,PFOA,,2
wqms_01900056,5/22/2023,0.0016,ug/l,PFOA,,1.1
wqms_01900056,6/19/2023,0.0026,ug/l,PFOA,,1.7
wqms_01900056,7/24/2023,0.0034,ug/l,PFOA,,2.8
wqms_01900056,8/17/2023,0.0042,ug/l,PFOA,,1.6
wqms_01900056,9/13/2023,0.0045,ug/l,PFOA,,2.6
wqms_01900056,10/9/2023,0.0032,ug/l,PFOA,,3.4
wqms_01900056,11/24/2023,0.0022,ug/l,PFOA,,4.2
wqms_01900056,12/14/2023,0.0022,ug/l,PFOA,,4.5
wqms_01900057,6/12/2019,0.001,ug/l,PFOA,3.471562386,3.2
wqms_01900057,7/3/2019,0.001,ug/l,PFOA,2.22093749,2.2
wqms_01900057,7/31/2019,0.001,ug/l,PFOA,2.008906364,2.2
wqms_01900057,8/28/2019,0.001,ug/l,PFOA,1.95140624,1
wqms_01900057,9/25/2019,0.006,ug/l,PFOA,2.328749895,1
wqms_01900057,10/23/2019,0.005,ug/l,PFOA,3.741093636,1
wqms_01900057,11/20/2019,0.001,ug/l,PFOA,5.951250076,1
wqms_01900058,6/12/2019,0.001,ug/l,PFOA,,6
wqms_01900058,7/3/2019,0.001,ug/l,PFOA,,5
wqms_01900058,7/31/2019,0.001,ug/l,PFOA,,1
wqms_01900058,8/28/2019,0.001,ug/l,PFOA,,1
wqms_01900058,9/25/2019,0.001,ug/l,PFOA,,1
wqms_01900058,10/23/2019,0.001,ug/l,PFOA,,1
wqms_01900058,11/20/2019,0.001,ug/l,PFOA,,1
wqms_01900059,2/1/2023,0.0016,ug/l,PFOA,,1
wqms_01900059,8/3/2023,0.001,ug/l,PFOA,,1
wqms_01900059,9/4/2023,0.0022,ug/l,PFOA,,1
wqms_01900060,2/4/2020,0.001063426,ug/l,PFOA,,1.6
wqms_01900060,5/5/2020,0.001155672,ug/l,PFOA,,1
wqms_01900060,6/4/2020,0.0014,ug/l,PFOA,,2.2
wqms_01900060,8/4/2020,0.0029,ug/l,PFOA,,1.063425832
wqms_01900060,10/2/2020,0.0021,ug/l,PFOA,,1.155672085
wqms_01900060,12/1/2020,0.0011,ug/l,PFOA,,1.4
wqms_01900060,2/2/2021,0.000941956,ug/l,PFOA,,2.9
wqms_01900060,5/4/2021,0.0012,ug/l,PFOA,,2.1
wqms_01900060,8/3/2021,0.0014,ug/l,PFOA,,1.1
wqms_01900060,11/2/2021,0.0016,ug/l,PFOA,,0.941955718
wqms_01900060,3/2/2023,0.0012,ug/l,PFOA,,1.2
wqms_01900060,7/3/2023,0.0019,ug/l,PFOA,,1.4
wqms_01900060,8/3/2023,0.0014,ug/l,PFOA,,1.6
wqms_01900060,9/4/2023,0.0017,ug/l,PFOA,,1.2
wqms_01900060,10/5/2023,0.0012,ug/l,PFOA,,1.9
wqms_01900062,5/10/2016,0.005040029,ug/l,PFOA,,1.4
wqms_01900062,9/8/2016,0.005574092,ug/l,PFOA,,1.7
wqms_01900062,5/23/2022,0.0037,ug/l,PFOA,,1.2
wqms_01900062,9/29/2022,0.0031,ug/l,PFOA,,5.040028685
wqms_01900062,2/9/2023,0.0048,ug/l,PFOA,,5.574091931
wqms_01900062,5/11/2023,0.0045,ug/l,PFOA,,3.7
wqms_01900062,8/8/2023,0.0049,ug/l,PFOA,,3.1
wqms_01900062,11/9/2023,0.0049,ug/l,PFOA,,4.8
wqms_01900124,4/24/2013,0.006,ug/l,PFOA,,4.5
wqms_01900124,6/5/2013,0.008,ug/l,PFOA,,4.9
wqms_01900124,9/25/2013,0.006,ug/l,PFOA,,4.9
wqms_01900124,12/4/2013,0.0025,ug/l,PFOA,,6
wqms_01900124,3/19/2014,0.01,ug/l,PFOA,,8
wqms_01900124,6/11/2014,0.01,ug/l,PFOA,,6
wqms_01900124,9/17/2014,0.01,ug/l,PFOA,,2.5
wqms_01900124,12/10/2014,0.01,ug/l,PFOA,,10
wqms_01900125,4/24/2013,0.007,ug/l,PFOA,,10
wqms_01900125,6/5/2013,0.009,ug/l,PFOA,,10
wqms_01900125,9/25/2013,0.011,ug/l,PFOA,,10
wqms_01900125,12/4/2013,0.0025,ug/l,PFOA,,7
wqms_01900125,3/19/2014,0.01,ug/l,PFOA,,9
wqms_01900125,6/11/2014,0.01,ug/l,PFOA,,11
wqms_01900125,9/17/2014,0.01,ug/l,PFOA,,2.5
wqms_01900125,12/10/2014,0.01,ug/l,PFOA,,10
wqms_02300060,7/10/2019,0.00070594,ug/l,PFOA,,10
wqms_02300061,9/7/2007,0.002077944,ug/l,PFOA,,10
wqms_02700001,1/11/2017,0.000556,ug/l,PFOA,,10
wqms_02700001,2/6/2017,0.000465,ug/l,PFOA,,0.705940333
wqms_02700001,3/6/2017,0.000205343,ug/l,PFOA,,2.077944251
wqms_02700001,5/15/2017,0.000152509,ug/l,PFOA,,0.556
wqms_02700001,7/3/2017,0.000791,ug/l,PFOA,,0.465
wqms_02700001,9/11/2017,0.000397,ug/l,PFOA,,0.205343026
wqms_02700001,11/13/2017,0.000529,ug/l,PFOA,,0.152509434
wqms_02700001,5/2/2022,0.000565,ug/l,PFOA,,0.791
wqms_02700001,8/1/2022,0.000135,ug/l,PFOA,,0.397
wqms_02700001,9/26/2022,0.00071,ug/l,PFOA,,0.529
wqms_02700001,10/17/2022,0.000142,ug/l,PFOA,,0.565
wqms_03100139,9/16/2013,0.0032,ug/l,PFOA,,0.135
wqms_03100139,11/26/2013,0.0032,ug/l,PFOA,,0.71
wqms_03100140,9/18/2013,0.0026,ug/l,PFOA,,0.142
wqms_03100140,11/26/2013,0.0026,ug/l,PFOA,,3.2
wqms_03100141,9/19/2013,0.0027,ug/l,PFOA,,3.2
wqms_03100141,11/27/2013,0.0044,ug/l,PFOA,,2.6
wqms_03100142,9/12/2013,0.0018,ug/l,PFOA,,2.6
wqms_03100142,11/22/2013,0.0018,ug/l,PFOA,,2.7
wqms_03100143,9/13/2013,0.0051,ug/l,PFOA,,4.4
wqms_03100143,11/25/2013,0.0051,ug/l,PFOA,,1.8
wqms_03100144,9/14/2013,0.0046,ug/l,PFOA,,1.8
wqms_03100144,12/4/2013,0.0046,ug/l,PFOA,,5.1
wqms_03100145,9/14/2013,0.0048,ug/l,PFOA,,5.1
wqms_03100145,11/25/2013,0.0048,ug/l,PFOA,,4.6
wqms_03100146,9/15/2013,0.0051,ug/l,PFOA,,4.6
wqms_03100146,11/25/2013,0.0051,ug/l,PFOA,,4.8
wqms_03100147,9/15/2013,0.0027,ug/l,PFOA,,4.8
wqms_03100147,11/26/2013,0.0044,ug/l,PFOA,,5.1
wqms_03100148,9/16/2013,0.0029,ug/l,PFOA,,5.1
wqms_03100148,11/26/2013,0.0029,ug/l,PFOA,,2.7
wqms_03100149,9/16/2013,0.0021,ug/l,PFOA,,4.4
