wqms_id,wqms_lat,wqms_lon,country_name,hydrobasin_level12,LINKNO,merged_LINKNO,gauge_id,gauge_distance_km
wqms_00500001,42.24956,19.34944,Albania,2120598220,210391046,210389990,,
wqms_00500002,42.17353,19.30196,Albania,2120599280,210254827,210254827,,
wqms_00500003,41.96908,19.38477,Albania,2120011990,210423797,210463919,,
wqms_00500004,41.91697,19.36187,Albania,2120011990,210378390,210463919,,
wqms_00500005,40.45269,19.57819,Albania,2120632170,210261259,210292941,,
wqms_00500006,40.75044,19.5789,Albania,2120011750,210321427,210360501,,
wqms_00500007,41.68811,20.33822,Albania,2121211970,210416422,210372099,,
wqms_00500008,40.734,19.57206,Albania,2120628940,210307710,210283424,,
wqms_00500009,41.9691,19.38474,Albania,2120011990,210423797,210463919,,
wqms_00900001,-14.26699,-170.59344,American Samoa,5120082160,,,,
wqms_00900002,-14.25922,-170.63649,American Samoa,5120082160,,,,
wqms_00900003,-14.26267,-170.65172,American Samoa,5120082160,,,,
wqms_00900004,-14.25172,-170.6801,American Samoa,5120082160,,,,
wqms_00900005,-14.28616,-170.72038,American Samoa,5120082160,,,,
wqms_00900006,-14.29286,-170.75922,American Samoa,5120082160,,,,
wqms_00900007,-14.33116,-170.80177,American Samoa,5120082160,,,,
wqms_00900008,-14.32116,-170.79511,American Samoa,5120082160,,,,
wqms_00900009,-14.32032,-170.78177,American Samoa,5120082160,,,,
wqms_00900010,-14.30838,-170.71038,American Samoa,5120082160,,,,
wqms_00900011,-14.29699,-170.68649,American Samoa,5120082160,,,,
wqms_00900012,-14.27755,-170.70566,American Samoa,5120082160,,,,
wqms_00900013,-14.27977,-170.65316,American Samoa,5120082160,,,,
wqms_00900014,-14.28588,-170.64455,American Samoa,5120082160,,,,
wqms_00900015,-14.27783,-170.63983,American Samoa,5120082160,,,,
wqms_00900016,-14.26922,-170.57511,American Samoa,5120082160,,,,
wqms_00900017,-14.28811,-170.70677,American Samoa,5120082160,,,,
wqms_01000001,-22.37664,-62.52333,Argentina,6120749420,640604082,640524523,grdc_3268500,23.1542
wqms_01000002,-32.90211,-58.11684,Argentina,6120883760,640355811,640482349,,
wqms_01000003,-33.08056,-58.1463,Argentina,6120016790,640277488,640233709,,
wqms_01000004,-33.102,-58.21956,Argentina,6120016790,640214129,640202610,,
wqms_01000005,-25.68256,-54.42397,Argentina,6120794740,640528229,640486751,camelsbr_65993000,0.0798
wqms_01000006,-25.62854,-54.4812,Argentina,6120793690,640460259,640486751,camelsbr_65993000,11.8118
wqms_01000007,-26.92549,-58.50669,Argentina,6120810690,640453413,640428066,,
wqms_01000008,-32.4763,-58.21932,Argentina,6120878790,640330447,640259023,,
wqms_01000009,-25.37622,-57.64933,Argentina,6121285610,640399190,640399190,,
wqms_01000010,-24.169,-65.48955,Argentina,6120775980,640386453,640342678,,
wqms_01000011,-24.1892,-65.43544,Argentina,6120775520,640389910,640416408,,
wqms_01000012,-27.99309,-67.62715,Argentina,6120824280,640531809,640522575,grdc_3274030,13.2508
wqms_01000013,-26.99571,-66.21746,Argentina,6120809950,640517932,640477612,,
wqms_01000014,-28.26086,-67.02101,Argentina,6121301610,640505328,640522575,grdc_3274030,87.7192
wqms_01000015,-27.33631,-65.31752,Argentina,6120815000,640477629,640438456,,
wqms_01000016,-27.3185,-65.22768,Argentina,6120814450,640554813,640546744,,
wqms_01000017,-27.37981,-65.15319,Argentina,6120815470,640582464,640546744,,
wqms_01000018,-26.71918,-65.16207,Argentina,6120807110,640512156,640441855,grdc_3274140,28.1752
wqms_01000019,-25.24912,-64.39079,Argentina,6120789450,640508623,640459097,grdc_3265070,10.3831
wqms_01000020,-22.5678,-64.24332,Argentina,6121267590,640583360,640534926,,
wqms_01000021,-23.14267,-64.19595,Argentina,6120762130,640539615,640537299,,
wqms_01000022,-24.8425,-65.59306,Argentina,6120784760,640417593,640313906,,
wqms_01000023,-26.37411,-63.72439,Argentina,6120803710,640509834,640493703,,
wqms_01000024,-27.94025,-63.43932,Argentina,6121300150,640512219,640602065,,
wqms_01000025,-25.6108,-63.94932,Argentina,6121287110,640423391,640438361,,
wqms_01000026,-29.1062,-62.57646,Argentina,6121305840,640533013,640602065,,
wqms_01000027,-28.01445,-64.09714,Argentina,6120826670,640550238,640536393,,
wqms_01000028,-28.32954,-64.00717,Argentina,6120828380,640587122,640536393,,
wqms_01000029,-28.74393,-68.22109,Argentina,6120834900,650071236,650061633,grdc_3275010,8.1504
wqms_01000030,-29.17822,-67.48578,Argentina,6120840550,640325668,640325668,,
wqms_01000031,-28.64957,-66.54936,Argentina,6120832210,640444291,640522575,grdc_3274030,167.8889
wqms_01000032,-30.19657,-68.83143,Argentina,6121311460,650071282,650067282,,
wqms_01000033,-31.25176,-69.17767,Argentina,6120865360,650103315,650077716,grdc_3275100,83.6525
wqms_01000034,-30.05057,-69.17009,Argentina,6120851490,650065677,650047244,,
wqms_01000035,-32.2254,-67.80638,Argentina,6121320340,650093746,650077716,grdc_3275100,220.806
wqms_01000036,-35.09784,-68.87477,Argentina,6121331910,650325836,650330641,,
wqms_01000037,-35.1974,-69.76727,Argentina,6120904380,650345039,650221040,,
wqms_01000038,-34.66846,-69.3165,Argentina,6120899950,650298623,650288223,grdc_3275280,1.0655
wqms_01000039,-35.08384,-69.60444,Argentina,6120904260,650301836,650257025,,
wqms_01000040,-34.60712,-68.30253,Argentina,6121330200,650190621,650190621,,
wqms_01000041,-34.57056,-67.865,Argentina,6120899230,650323420,650288223,grdc_3275290,88.7953
wqms_01000042,-35.16866,-66.49602,Argentina,6120904370,650388239,650108115,grdc_3275270,302.5422
wqms_01000043,-35.18444,-67.72692,Argentina,6120904360,650387439,650328236,,
wqms_01000044,-33.1059,-66.06346,Argentina,6120885900,650116174,650102574,,
wqms_01000045,-33.91841,-65.15154,Argentina,6121327410,650209799,650164986,,
wqms_01000046,-38.8207,-64.98102,Argentina,6120933940,650341954,650108115,grdc_3275750,11.7479
wqms_01000047,-40.52955,-70.43054,Argentina,6121347810,650259607,650256407,,
wqms_01000048,-39.112,-67.62314,Argentina,6120935130,650301963,650307559,grdc_3275990,550.0444
wqms_01000049,-40.45448,-63.78947,Argentina,6120942170,650281205,650307559,grdc_3275990,6.399
wqms_01000050,-41.59265,-71.68396,Argentina,6120946660,660091277,660072271,,
wqms_01000051,-36.8071,-69.89341,Argentina,6120918580,650410690,650367480,grdc_3275500,13.4402
wqms_01000052,-37.07585,-69.74637,Argentina,6120920470,650417099,650443492,grdc_3275700,2.7251
wqms_01000053,-38.53023,-69.403,Argentina,6121343030,650388344,650337939,grdc_3275800,1.8363
wqms_01000054,-38.98094,-68.1382,Argentina,6121344260,650300359,650256407,,
wqms_01000055,-37.18555,-70.67857,Argentina,6120921410,650404302,650429891,,
wqms_01000056,-40.11954,-71.66179,Argentina,6120939980,660116597,660100405,camelscl_10100006,2.0653
wqms_01000057,-43.88818,-68.39813,Argentina,6120955220,650182913,650221273,grdc_3276200,12.7928
wqms_01000058,-45.68262,-70.2516,Argentina,6120960330,650126170,650113369,,
wqms_01000059,-44.95823,-71.34198,Argentina,6121354020,650178147,650188545,grdc_3276300,1.0226
wqms_01000060,-43.17454,-71.62378,Argentina,6121352010,660102568,660080029,grdc_3290500,9.3779
wqms_01000061,-43.11114,-71.65442,Argentina,6120952480,660101862,660080029,grdc_3290500,12.9551
wqms_01000062,-45.56419,-69.0672,Argentina,6120959690,650139766,650165348,grdc_3276320,186.8677
wqms_01000063,-41.83417,-71.10841,Argentina,6120947830,650205248,650162843,,
