Compound,MDL (ng/L),MRL (ng/L)
11Cl-PF3OUdS ,0.69,3.94
3-3 FTCA ,0.3,3.79
4:2FTS ,0.79,3.2
5-3 FTCA ,4.04,24.76
6:2FTS ,1.49,5.17
7-3 FTCA ,4.54,23.52
8:2FTS ,0.77,4.14
9Cl-PF3ONS ,0.69,4.28
ADONA ,0.77,3.96
HFPO-DA ,0.79,3.93
NEtFOSA ,0.5,0.96
NEtFOSAA ,0.29,0.94
NEtFOSE ,1.46,10.28
NFDHA ,0.35,2.25
NMeFOSA ,0.26,1.22
NMeFOSAA ,0.45,1.15
NMeFOSE ,1.25,10.65
PFBA ,0.66,4.23
PFBS ,0.33,1.04
PFDA ,0.26,0.9
PFDoA ,0.18,1.01
PFDoS ,0.4,0.9
PFDS ,0.43,0.93
PFEESA ,0.3,2.02
PFHpA ,0.3,1.03
PFHpS ,0.37,1.02
PFHxA ,0.19,1.01
PFHxS ,0.57,1.2
PFMBA ,0.38,1.9
PFMPA ,0.27,1.75
PFNA ,0.25,1.03
PFNS ,0.35,0.86
PFOA ,0.31,1.05
PFOS ,0.38,1.1
PFOSA ,0.47,0.65
PFPeA ,0.34,2.01
PFPeS ,0.25,1.07
PFTeDA ,0.18,1.03
PFTrDA ,0.27,1
PFUnA ,0.25,0.89
