Sample Name on LC/MS,Location,Date,Time,Collecter,Type,Project,Comment,Container Mass (g),Total mass (g),Sample Mass (g),TOC/IC sample collected?,PFAS Collected?,TOC/TN analyzed,IC analyzed,UV254 analyzed,PFAS Analyzed?,Isotope #,Delta 2H,Delta 18O,Delta 17O,Ran on Auto SPE,11Cl-PF3OUdS Results,3-3 FTCA Results,4:2FTS Results,5-3 FTCA Results,6:2FTS Results,7-3 FTCA Results,8:2FTS Results,9Cl-PF3ONS Results,ADONA Results,HFPO-DA Results,NEtFOSA Results,NEtFOSAA Results,NEtFOSE Results,NFDHA Results,NMeFOSA Results,NMeFOSAA Results,NMeFOSE Results,PFBA Results,PFBS Results,PFDA Results,PFDoA Results,PFDoS Results,PFDS Results,PFEESA Results,PFHpA Results,PFHpS Results,PFHxA Results,PFHxS Results,PFMBA Results,PFMPA Results,PFNA Results,PFNS Results,PFOA Results,PFOS Results,PFOSA Results,PFPeA Results,PFPeS Results,PFTeDA Results,PFTrDA Results,PFUnA Results
,Wet Center ,6/24/2025,11:32:00 AM,RV,Stream,Baseflow,,,,,,Yes,,,,,1913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wet Center UP,6/24/2025,11:39:00 AM,RV,Stream,Baseflow,,,,,,Yes,,,,,1914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wet Center ,7/7/2025,12:00:00 PM,"RV,XG",Stream,Baseflow,Storm #11 occured between baseflow samples on 6/24 and those on 7/7,,,,,Yes,,,,,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wet Center UP,7/7/2025,12:00:00 PM,"RV,XG",Stream,Baseflow,,,,,,Yes,,,,,1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wet Center ,7/9/2025,4:20:00 PM,RV,Stream,Stream_Storm,"Storm 12. Sample #1: 0.16"" of rain on 7/9 and 0.28"" on 7/10",41.3,540.4,499.1,,Yes,,,,,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wet Center ,7/9/2025,10:20:00 PM,RV,Stream,Stream_Storm,Storm 12. Sample #3,,535.5,,"Yes, subsampled 100 Ml from PFAS sample",Yes,,,,,1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE12_5,Wet Center ,7/10/2025,4:20:00 AM,RV,Stream,Stream_Storm,Storm 12. Sample #5,,528.4,,,Yes,,,,Yes,1977,,,,9/29/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE12_7,Wet Center ,7/10/2025,10:20:00 AM,RV,Stream,Stream_Storm,Storm 12. Sample #7,,515.5,,,Yes,,,,Yes,1979,,,,9/29/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE12_9,Wet Center ,7/10/2025,4:20:00 PM,RV,Stream,Stream_Storm,Storm 12. Sample #9,,521.1,,,Yes,,,,Yes,1981,,,,9/29/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wet Center ,7/10/2025,10:20:00 PM,RV,Stream,Stream_Storm,Storm 12. Sample #11,,,,"Yes, subsampled 100 Ml from PFAS sample",Yes,,,,,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
