Sample #,Sample Name on LC/MS,Location,Date,Time,Collecter,Type,Project,Comment,Container Mass (g),Total mass (g),Sample Mass (g),TOC/IC sample collected?,PFAS Collected?,Isotope #,Delta 2H,Delta 18O,Delta 17O,Ran on Auto SPE,Corresponding Table,11Cl-PF3OUdS Results,3-3 FTCA Results,4:2FTS Results,5-3 FTCA Results,6:2FTS Results,7-3 FTCA Results,8:2FTS Results,9Cl-PF3ONS Results,ADONA Results,HFPO-DA Results,NEtFOSA Results,NEtFOSAA Results,NEtFOSE Results,NFDHA Results,NMeFOSA Results,NMeFOSAA Results,NMeFOSE Results,PFBA Results,PFBS Results,PFDA Results,PFDoA Results,PFDoS Results,PFDS Results,PFEESA Results,PFHpA Results,PFHpS Results,PFHxA Results,PFHxS Results,PFMBA Results,PFMPA Results,PFNA Results,PFNS Results,PFOA Results,PFOS Results,PFOSA Results,PFPeA Results,PFPeS Results,PFTeDA Results,PFTrDA Results,PFUnA Results
1,Lost. Method Creation error,Wet Center ,6/24/25,11:26:00 AM,RV,Stream,Baseflow,,,,,,Yes,1912,-50.13,-8.10,-4.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Lost. Method Creation error,WC Upstream,6/24/25,11:39:00 AM,RV,Stream,Baseflow,,,,,,Yes,1914,-50.64,-7.83,-4.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Lost. Method Creation error,Wet Center ,7/7/25,12:00:00 PM,"RV,XG",Stream,Baseflow,Storm #11 occured between baseflow samples on 6/24 and those on 7/7,,,,,Yes,1964,-49.98,-8.02,-3.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Lost. Method Creation error,WC Upstream,7/7/25,12:00:00 PM,"RV,XG",Stream,Baseflow,,,,,,Yes,1965,-50.26,-8.09,-3.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,SE12_1,Wet Center ,7/9/25,4:20:00 PM,RV,Stream,Stream_Storm,"Storm 12. Sample #1: 0.16"" of rain on 7/9 and 0.28"" on 7/10",41.30,438.90,397.60,,Yes,1973,-51.01,-8.11,-3.90,06/03/26,RV_PFAS_07082026,0.03 bdl,0.29 bdl,0.00 bdl,0.57 bdl,0.42 bdl,0.44 bdl,0.03 bdl,0.02 bdl,0.05 bdl,0.18 bdl,0.22 bdl,0.12 bdl,1.30 bdl,0.08 bdl,0.59 bdl,0.37 bdl,1.38 bdl,1.07 bdl,2.03,0.18 bdl,0.10 bdl,0.03 bdl,0.02 bdl,0.03 bdl,2.41,0.09 bdl,5.3,1.01 bdl,0.01 bdl,0.01 bdl,0.75 bdl,0.03 bdl,4.9,2.71,12.04,4.4,0.15 bdl,0.04 bdl,0.10 bdl,0.07 bdl
6,SE12_3,Wet Center ,7/9/25,10:20:00 PM,RV,Stream,Stream_Storm,Storm 12. Sample #3,41.58,433.69,392.11,"Yes, subsampled 100 Ml from PFAS sample",Yes,1975,-51.05,-8.03,-3.81,06/03/26,RV_PFAS_07082026,0.02 bdl,0.00 bdl,0.00 bdl,0.38 bdl,0.49 bdl,0.44 bdl,0.02 bdl,0.01 bdl,0.01 bdl,0.08 bdl,0.23 bdl,0.20 bdl,0.88 bdl,0.08 bdl,0.48 bdl,0.26 bdl,1.04 bdl,3.20 bdl,1.64,0.26 bdl,0.10 bdl,0.02 bdl,0.02 bdl,0.01 bdl,2.59,0.02 bdl,4.73,0.98 bdl,0.03 bdl,0.02 bdl,0.78 bdl,0.02 bdl,4.6,2.36,17.67,3.75,0.16 bdl,0.09 bdl,0.13 bdl,0.09 bdl
7,SE12_5,Wet Center ,7/10/25,4:20:00 AM,RV,Stream,Stream_Storm,Storm 12. Sample #5,41.58,528.40,486.82,,Yes,1977,-49.97,-7.83,-3.737275,09/29/25,MillRiver_PFAS_10092025,0.012 bdl,0.888 bdl,0.074 bdl,0.323 bdl,0.916,0.424 bdl,0.024 bdl,0.003 bdl,0.003 bdl,0.188 bdl,0.178 bdl,0.125 bdl,0.264 bdl,0.063 bdl,0.150 bdl,0.116 bdl,0.277 bdl,4.373,1.6,0.456,0.154 bdl,0.018 bdl,0.045 bdl,0.008 bdl,2.002,0.071 bdl,4.855,1.226,0.010 bdl,0.073 bdl,1.2,0.032 bdl,4.442,2.274,0.884,4.442,0.151 bdl,0.037 bdl,0.029 bdl,0.118 bdl
8,SE12_7,Wet Center ,7/10/25,10:20:00 AM,RV,Stream,Stream_Storm,Storm 12. Sample #7,41.58,515.50,473.92,,Yes,1979,-51.03,-7.99,-3.827931,09/29/25,MillRiver_PFAS_10092025,0.002 bdl,0.165 bdl,0.070 bdl,0.250 bdl,0.382 bdl,0.439 bdl,0.032 bdl,0.005 bdl,0.007 bdl,0.030 bdl,0.172 bdl,0.186 bdl,0.272 bdl,0.090 bdl,0.152 bdl,0.082 bdl,0.260 bdl,3.111,1.88,0.126 bdl,0.062 bdl,0.018 bdl,0.042 bdl,0.011 bdl,2.103,0.085 bdl,4.032,1.005,0.005 bdl,0.031 bdl,0.693,0.014 bdl,4.044,2.479,0.458,3.41,0.157 bdl,0.042 bdl,0.022 bdl,0.032 bdl
9,SE12_9,Wet Center ,7/10/25,4:20:00 PM,RV,Stream,Stream_Storm,Storm 12. Sample #9,41.58,521.10,479.52,,Yes,1981,-49.02,-8.07,-3.812725,09/29/25,MillRiver_PFAS_10092025,0.003 bdl,0.277 bdl,0.057 bdl,0.448 bdl,0.752 bdl,0.264 bdl,0.029 bdl,0.006 bdl,0.005 bdl,0.071 bdl,0.162 bdl,0.239,0.270 bdl,0.071 bdl,0.165 bdl,0.139 bdl,0.258 bdl,2.662,1.475,0.189 bdl,0.030 bdl,0.014 bdl,0.000 bdl,0.007 bdl,1.773,0.100 bdl,3.816,0.923,0.008 bdl,0.045 bdl,0.698,0.028 bdl,4.271,2.024,0.236,3.534,0.171 bdl,0.039 bdl,0.045 bdl,0.041 bdl
10,SE12_11,Wet Center ,7/10/25,10:20:00 PM,RV,Stream,Stream_Storm,Storm 12. Sample #11,41.58,420.77,379.19,"Yes, subsampled 100 Ml from PFAS sample",Yes,1983,-51.00,-8.16,-3.862586,06/03/26,RV_PFAS_07082026,0.01 bdl,0.09 bdl,0.00 bdl,0.39 bdl,0.63 bdl,0.63 bdl,0.05 bdl,0.00 bdl,0.01 bdl,0.20 bdl,0.27 bdl,0.17 bdl,0.68 bdl,0.09 bdl,0.34 bdl,0.40 bdl,0.90 bdl,2.86 bdl,1.5,0.15 bdl,0.05 bdl,0.00 bdl,0.01 bdl,0.00 bdl,2.09,0.01 bdl,4.77,1.00 bdl,0.02 bdl,0.01 bdl,0.63 bdl,0.03 bdl,4.47,2.08,9.33,3.86,0.08 bdl,0.08 bdl,0.03 bdl,0.02 bdl
