Sample #,Sample Name on LC/MS,Location,Date,Time,Collecter,Type,Project,Comment,Container Mass (g),Total mass (g),Sample Mass (g),TOC/IC sample collected?,PFAS Collected?,TOC/TN analyzed,IC analyzed,UV254 analyzed,PFAS Analyzed?,Isotope #,Delta 2H,Delta 18O,Delta 17O,Ran on Auto SPE,Corresponding Table,11Cl-PF3OUdS Results,3-3 FTCA Results,4:2FTS Results,5-3 FTCA Results,6:2FTS Results,7-3 FTCA Results,8:2FTS Results,9Cl-PF3ONS Results,ADONA Results,HFPO-DA Results,NEtFOSA Results,NEtFOSAA Results,NEtFOSE Results,NFDHA Results,NMeFOSA Results,NMeFOSAA Results,NMeFOSE Results,PFBA Results,PFBS Results,PFDA Results,PFDoA Results,PFDoS Results,PFDS Results,PFEESA Results,PFHpA Results,PFHpS Results,PFHxA Results,PFHxS Results,PFMBA Results,PFMPA Results,PFNA Results,PFNS Results,PFOA Results,PFOS Results,PFOSA Results,PFPeA Results,PFPeS Results,PFTeDA Results,PFTrDA Results,PFUnA Results
1,,Wet Center ,6/24/2025,11:26:00 AM,RV,Stream,Baseflow,,,,,,Yes,,,,,1912,-50.13,-8.1,-4.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,Wet Center UP,6/24/2025,11:39:00 AM,RV,Stream,Baseflow,,,,,,Yes,,,,,1914,-50.64,-7.83,-4.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,Wet Center ,7/7/2025,12:00:00 PM,"RV,XG",Stream,Baseflow,Storm #11 occured between baseflow samples on 6/24 and those on 7/7,,,,,Yes,,,,,1964,-49.98,-8.02,-3.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Wet Center UP,7/7/2025,12:00:00 PM,"RV,XG",Stream,Baseflow,,,,,,Yes,,,,,1965,-50.26,-8.09,-3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,SE12_1,Wet Center ,7/9/2025,4:20:00 PM,RV,Stream,Stream_Storm,"Storm 12. Sample #1: 0.16"" of rain on 7/9 and 0.28"" on 7/10",41.3,438.9,397.6,,Yes,,,,Yes,1973,-51.01,-8.11,-3.9,6/3/2026,RV_PFAS_07082026,0.03 bdl,0.29 bdl,0.00 bdl,0.57 bdl,0.42 bdl,0.44 bdl,0.03 bdl,0.02 bdl,0.05 bdl,0.18 bdl,0.22 bdl,0.12 bdl,1.30 bdl,0.08 bdl,0.59 bdl,0.37 bdl,1.38 bdl,1.07 bdl,2.03,0.18 bdl,0.10 bdl,0.03 bdl,0.02 bdl,0.03 bdl,2.41,0.09 bdl,5.3,1.01 bdl,0.01 bdl,0.01 bdl,0.75 bdl,0.03 bdl,4.9,2.71,12.04,4.4,0.15 bdl,0.04 bdl,0.10 bdl,0.07 bdl
6,SE12_3,Wet Center ,7/9/2025,10:20:00 PM,RV,Stream,Stream_Storm,Storm 12. Sample #3,,433.69,,"Yes, subsampled 100 Ml from PFAS sample",Yes,,,,Yes,1975,-51.05,-8.03,-3.81,6/3/2026,RV_PFAS_07082026,0.02 bdl,0.00 bdl,0.00 bdl,0.38 bdl,0.49 bdl,0.44 bdl,0.02 bdl,0.01 bdl,0.01 bdl,0.08 bdl,0.23 bdl,0.20 bdl,0.88 bdl,0.08 bdl,0.48 bdl,0.26 bdl,1.04 bdl,3.20 bdl,1.64,0.26 bdl,0.10 bdl,0.02 bdl,0.02 bdl,0.01 bdl,2.59,0.02 bdl,4.73,0.98 bdl,0.03 bdl,0.02 bdl,0.78 bdl,0.02 bdl,4.6,2.36,17.67,3.75,0.16 bdl,0.09 bdl,0.13 bdl,0.09 bdl
10,SE12_11,Wet Center ,7/10/2025,10:20:00 PM,RV,Stream,Stream_Storm,Storm 12. Sample #11,,420.77,,"Yes, subsampled 100 Ml from PFAS sample",Yes,,,,Yes,1983,-51,-8.16,-3.862586,6/3/2026,RV_PFAS_07082026,0.01 bdl,0.09 bdl,0.00 bdl,0.39 bdl,0.63 bdl,0.63 bdl,0.05 bdl,0.00 bdl,0.01 bdl,0.20 bdl,0.27 bdl,0.17 bdl,0.68 bdl,0.09 bdl,0.34 bdl,0.40 bdl,0.90 bdl,2.86 bdl,1.5,0.15 bdl,0.05 bdl,0.00 bdl,0.01 bdl,0.00 bdl,2.09,0.01 bdl,4.77,1.00 bdl,0.02 bdl,0.01 bdl,0.63 bdl,0.03 bdl,4.47,2.08,9.33,3.86,0.08 bdl,0.08 bdl,0.03 bdl,0.02 bdl
11,SE12_13,Wet Center ,7/11/2025,4:20:00 AM,RV,Stream,Stream_Storm,Storm 12. Sample #13,,414.81,,"Yes, subsampled 100 Ml from PFAS sample",Yes,,,,Yes,1985,-51.08,-8.21,-3.906247,6/3/2026,RV_PFAS_07082026,0.01 bdl,0.16 bdl,0.00 bdl,0.84 bdl,0.86 bdl,0.38 bdl,0.02 bdl,0.01 bdl,0.02 bdl,0.06 bdl,0.27 bdl,0.18 bdl,0.78 bdl,0.08 bdl,0.46 bdl,0.32 bdl,1.02 bdl,0.83 bdl,1.43,0.12 bdl,0.03 bdl,0.02 bdl,0.02 bdl,0.02 bdl,2.47,0.05 bdl,4.83,1.17 bdl,0.01 bdl,0.02 bdl,0.68 bdl,0.01 bdl,4.57,1.95,10.29,3.92,0.23 bdl,0.04 bdl,0.05 bdl,0.03 bdl
12,SE12_15,Wet Center ,7/11/2025,10:20:00 AM,RV,Stream,Stream_Storm,Storm 12. Sample #15,,423.05,,"Yes, subsampled 100 Ml from PFAS sample",Yes,,,,Yes,1987,-50.42,-8.21,-3.922179,6/3/2026,RV_PFAS_07082026,0.00 bdl,0.14 bdl,0.00 bdl,0.66 bdl,0.77 bdl,0.16 bdl,0.10 bdl,0.01 bdl,0.00 bdl,0.07 bdl,0.40 bdl,0.19 bdl,1.12 bdl,0.06 bdl,0.79 bdl,0.30 bdl,1.27 bdl,0.29 bdl,1.68,0.15 bdl,0.03 bdl,0.00 bdl,0.00 bdl,0.01 bdl,2.81,0.03 bdl,4.9,1.13 bdl,0.02 bdl,0.02 bdl,0.56 bdl,0.00 bdl,5.08,2.3,12.65,3.97,0.22 bdl,0.05 bdl,0.04 bdl,0.06 bdl
13,SE12_17,Wet Center ,7/11/2025,4:20:00 PM,RV,Stream,Stream_Storm,Storm 12. Sample #17,,429.58,,"Yes, subsampled 100 Ml from PFAS sample",Yes,,,,Yes,1989,-51.04,-8.16,-3.945318,6/3/2026,RV_PFAS_07082026,0.00 bdl,0.49 bdl,0.00 bdl,0.13 bdl,0.80 bdl,0.33 bdl,0.03 bdl,0.02 bdl,0.01 bdl,0.03 bdl,0.40 bdl,0.11 bdl,0.99 bdl,0.09 bdl,0.63 bdl,0.31 bdl,0.98 bdl,0.74 bdl,1.53,0.19 bdl,0.06 bdl,0.01 bdl,0.00 bdl,0.00 bdl,2.52,0.09 bdl,5.2,0.86 bdl,0.01 bdl,0.01 bdl,0.67 bdl,0.02 bdl,4.31,2.32,11.28,4.15,0.16 bdl,0.02 bdl,0.06 bdl,0.03 bdl
14,SE12_19,Wet Center ,7/11/2025,10:20:00 PM,RV,Stream,Stream_Storm,Storm 12. Sample #19,,441.7,,"Yes, subsampled 100 Ml from PFAS sample",Yes,,,,Yes,1991,-51.53,-8.25,-3.906524,6/3/2026,RV_PFAS_07082026,0.00 bdl,0.00 bdl,0.00 bdl,0.00 bdl,0.81 bdl,0.11 bdl,0.06 bdl,0.02 bdl,0.01 bdl,0.10 bdl,0.27 bdl,0.15 bdl,0.67 bdl,0.09 bdl,0.42 bdl,0.30 bdl,0.63 bdl,0.78 bdl,1.69,0.13 bdl,0.03 bdl,0.03 bdl,0.00 bdl,0.01 bdl,2.36,0.13 bdl,4.92,1.09 bdl,0.01 bdl,0.01 bdl,0.72 bdl,0.04 bdl,4.26,1.91,8.11,4.06,0.14 bdl,0.06 bdl,0.03 bdl,0.03 bdl
15,SE12_21,Wet Center ,7/12/2025,4:20:00 AM,RV,Stream,Stream_Storm,"Storm 12. Sample #21, estimated tare",41.58,447.4,,"Yes, subsampled 100 Ml from PFAS sample",Yes,,,,Yes,1993,-50.94,-8.15,-3.896606,6/4/2026,RV_PFAS_07082026,0.00 bdl,0.02 bdl,0.00 bdl,0.23 bdl,0.69 bdl,0.49 bdl,0.04 bdl,0.01 bdl,0.00 bdl,0.12 bdl,0.29 bdl,0.18 bdl,0.37 bdl,0.07 bdl,0.36 bdl,0.46 bdl,0.44 bdl,2.76 bdl,1.54,0.12 bdl,0.04 bdl,0.03 bdl,0.01 bdl,0.01 bdl,2.75,0.09 bdl,5.02,1.06 bdl,0.00 bdl,0.01 bdl,0.59 bdl,0.01 bdl,3.86,1.81,0.40 bdl,3.92,0.16 bdl,0.05 bdl,0.08 bdl,0.07 bdl
