Sample,Date,Time,PFOA,PFHxA
SE16_1,10/30/2025,3:40:00 AM,3.87,4.2
SE16_2,10/30/2025,5:40:00 AM,3.51,4.21
SE16_3,10/30/2025,7:40:00 AM,3.39,4.1
SE16_4,10/30/2025,9:40:00 AM,3.61,4.11
SE16_5,10/30/2025,11:40:00 AM,3.49,4.45
SE16_6,10/30/2025,1:40:00 PM,3.59,4.19
SE16_7,10/30/2025,3:40:00 PM,2.61,3.08
SE16_8,10/30/2025,5:40:00 PM,3.09,2.49
SE16_9,10/30/2025,7:40:00 PM,2.92,3.55
SE16_10,10/30/2025,9:40:00 PM,2.47,2.94
SE16_11,10/30/2025,11:40:00 PM,3.78,3.63
SE16_12,10/31/2025,1:40:00 AM,3.07,2.96
SE16_13,10/31/2025,3:40:00 AM,3.09,3.04
SE16_14,10/31/2025,5:40:00 AM,2.39,2.74
SE16_15,10/31/2025,7:40:00 AM,2.71,2.39
SE16_16,10/31/2025,9:40:00 AM,2.8,2.06
SE16_17,10/31/2025,11:40:00 AM,2.82,2.01
SE16_18,10/31/2025,1:40:00 PM,2.73,2.03
SE16_19,10/31/2025,3:40:00 PM,2.94,2.08
SE16_20,10/31/2025,5:40:00 PM,2.86,1.98
SE16_21,10/31/2025,7:40:00 PM,2.57,1.86
SE16_22,10/31/2025,9:40:00 PM,2.96,2.03
SE16_Post,11/4/2025,1:26 PM,3.33,3.57
