Sample_Name,Name,Date,Time,Lat,Long,PFAS40,PFBA Results,PFMPA Results,3-3 FTCA Results,PFPeA Results,PFMBA Results,4:2FTS Results,NFDHA Results,PFHxA Results,PFBS Results,HFPO-DA Results,PFEESA Results,5-3 FTCA Results,PFHpA Results,PFPeS Results,ADONA Results,6:2FTS Results,PFOA Results,PFHxS Results,PFNA Results,PFHpS Results,7-3 FTCA Results,8:2FTS Results,PFDA Results,PFOS Results,NMeFOSAA Results,PFUnA Results,NEtFOSAA Results,9Cl-PF3ONS Results,PFNS Results,PFDoA Results,PFDS Results,PFTrDA Results,11Cl-PF3OUdS Results,PFTeDA Results,PFDoS Results,PFOSA Results,NMeFOSE Results,NMeFOSA Results,NEtFOSE Results,NEtFOSA Results
S1_1,Wet Center,10/11/2025,8:53 AM,42.38820223,-72.53929542,27.262,2.544,0.01,0.017,4.335,0.008,0.149,0.068,4.88,1.628,0.068,0.006,0.798,2.118,0.157,0.003,2.309,4.664,1.081,1.047,0.093,0.142,0.02,0.095,2.09,0.1,0.019,0.131,0.01,0.015,0.095,0.01,0.045,0.013,0.036,0.002,0.321,0.193,0.164,0.206,0.172
S1_2,MR Rec Area Picnic Table,10/11/2025,9:55 AM,42.41174901,-72.52841008,6.071,0.068,0.011,0.115,0.505,0.03,0.032,0.043,0.604,1.117,0.024,0.001,0.176,0.472,0.053,0.002,0.03,1.652,0.661,0.672,0.026,0.214,0.015,0.042,1.286,0.09,0.018,0.15,0.013,0.021,0.087,0.008,0.016,0.004,0.031,0.049,0.333,0.208,0.161,0.203,0.188
S1_3,Puffers Waterfall,10/11/2025,10:38 AM,42.41571,-72.51936,5.413,0.097,0.007,0.071,0.487,0.009,0.033,0.061,0.584,0.576,0.1,0.022,0,0.57,0.065,0.004,0.015,1.443,0.492,0.711,0.046,0.111,0.021,0.011,1.079,0.135,0.053,0.122,0.007,0.009,0.045,0.016,0.027,0.008,0.021,0.008,0.541,0.218,0.192,0.195,0.241
S1_4,Puffers Beach,10/11/2025,10:46 AM,42.41607,-72.51742,3.656,0.61,0.015,0.074,0.276,0.001,0.076,0.08,0.435,0.559,0.04,0.008,0.313,0.342,0.031,0.002,0.012,1.327,0.432,0.696,0.057,0.211,0,0.064,0.776,0.101,0.01,0.136,0.021,0.028,0.054,0,0.035,0.009,0.06,0,0.259,0.226,0.205,0.257,0.229
S1_5,Upper Puffers Railroad,10/11/2025,10:59 AM,42.41676691,-72.50990743,3.033,0.124,0,0.09,0.317,0.004,0.061,0.058,0.337,0.348,0.035,0.009,0.425,0.233,0.037,0.003,0.019,1.591,0.442,0.791,0.022,0.375,0.069,0.029,0.926,0.106,0.009,0.133,0.006,0.016,0.106,0,0.077,0.009,0.053,0,0.303,0.261,0.233,0.3,0.356
S1_6,Haskin Meadows (fishing spot),10/11/2025,11:57 AM,42.42912158,-72.49457164,3.561,0.574,0.016,0.041,0.311,0.003,0.034,0.046,0.345,0.364,0.048,0.002,0.141,0.338,0.066,0.003,0.038,1.503,0.554,0.556,0.019,0.264,0.048,0.044,0.803,0.124,0.016,0.15,0.018,0,0.076,0.003,0.004,0.002,0.024,0,0.371,0.234,0.182,0.216,0.209
S1_7,Atkins Reservoir,10/11/2025,12:19 PM,42.41998532,-72.48228751,8.659,0.654,0.004,0.054,0.404,0.003,0.022,0.073,0.373,0.187,0.121,0.003,0.436,0.356,0.02,0.004,0.103,1.148,0.353,0.415,0.011,0.154,0.026,0.177,1.142,0.379,1.582,0.11,0.005,0.024,0.705,0.124,0.372,0,0.074,0.022,1.115,0.215,0.174,0.223,0.127
S1_8,Roaring,10/11/2025,12:18 PM,42.43856274,-72.48246791,1.24,0.428,0.008,0.113,0.28,0.008,0.05,0.057,0.273,0.198,0.027,0.004,0.125,0.165,0.026,0.008,0.062,0.808,0.409,0.31,0.013,0.518,0.007,0.011,0.738,0.27,0.028,0.125,0.009,0.01,0.008,0.008,0.03,0,0.014,0.006,0.15,0.171,0.179,0.19,0.142
S1_9,Broad Hil,10/11/2025,12:36 PM,42.44938891,-72.46629085,2.88,0.518,0.006,0.05,0.399,0.004,0.022,0.063,0.295,0.167,0.017,0.005,0.288,0.187,0.047,0.002,0.067,1.123,0.333,0.376,0.022,0.74,0.011,0.017,0.735,0.473,0.009,0.162,0.004,0.019,0.018,0.005,0.012,0.007,0.017,0.007,0.144,0.26,0.207,0.262,0.218
S1_10,Shutesbury Cemetary,10/11/2025,12:48 PM,42.45460709,-72.4272845,8.722,0.254,0.011,0.061,1.195,0.007,0.031,0.044,0.728,0.486,0.07,0.004,0.666,0.6,0.056,0.006,0.058,2.294,0.521,0.592,0.053,0.607,0.022,0.178,1.575,0.399,0.057,0.152,0.005,0,0.022,0.021,0.011,0.001,0.017,0.001,0.891,0.23,0.204,0.271,0.187
S1_11,Doolittle,10/11/2025,1:10 PM,42.45111406,-72.49303401,10.087,1.502,0.014,0,1.518,0.016,0.047,0.047,1.463,0.686,0.044,0.001,0.585,0.522,0.063,0.004,0.043,1.93,0.442,0.674,0.004,0.253,0.018,0.09,1.518,0.306,0.063,0.122,0.001,0.008,0.056,0.01,0.032,0.009,0.009,0,0.3,0.142,0.141,0.179,0.137
S1_12,Leverett Library,10/11/2025,1:22 PM,42.46187717,-72.49582683,6.709,0.713,0.006,0.067,1.107,0.006,0.046,0.083,1.128,0.439,0.037,0.005,0.166,0.429,0.041,0.004,0.014,1.35,0.316,0.44,0.008,0.277,0.035,0.018,1.298,0.386,0.033,0.137,0.003,0.007,0.018,0.013,0.011,0.001,0.013,0.005,0.204,0.133,0.107,0.134,0.08
S1_13,Leverett Pond,10/11/2025,1:44 PM,42.46262232,-72.50511282,14.851,2.216,0.012,0.063,1.41,0.008,0.028,0.075,1.201,1.085,0.102,0.003,0.5,1.367,0.124,0.008,0.021,3.52,0.947,0.652,0.133,0.188,0.012,0.14,2.076,0.28,0.128,0.129,0.004,0.01,0.043,0.056,0.022,0.003,0.007,0.016,0.432,0.22,0.197,0.247,0.185
S1_14,Eastman Up,10/11/2025,1:55 PM,42.41935248,-72.5255505,2.556,0.732,0.004,0,0.238,0.012,0.103,0.074,0.19,0.52,0.065,0.01,0.187,0.229,0.081,0.002,0.042,0.869,0.452,0.341,0.014,0.366,0.041,0.032,0.919,0.38,0.021,0.121,0.001,0.007,0.01,0.002,0.007,0,0.009,0.007,0.794,0.224,0.2,0.261,0.184
S1_15,LW Boat Ramp,10/11/2025,2:27 PM,42.3858318,-72.58095566,36.33,3.529,0.007,0.385,6.6,0.011,0.063,0.05,7.533,2.813,0.051,0.009,0.346,3.664,0.109,0.004,0.109,8.582,0.74,0.665,0.055,0.629,0.012,0.098,1.853,0.39,0.028,0.151,0,0.011,0.02,0.025,0.02,0.003,0.013,0.005,0.324,0.148,0.133,0.187,0.146
S1_16,Prindle School,10/11/2025,2:51 PM,42.36442,-72.54051,50.577,6.603,0.039,2.852,4.374,0.13,0.06,0.052,3.282,13.566,0.132,0.011,0.268,1.524,0.391,0.006,0.067,5.068,2.914,1.846,0.435,0.365,0.032,0.479,5.155,0.235,0.089,0.323,0.006,0.112,0.046,0.062,0.031,0.005,0.027,0.007,1.513,0.315,0.223,0.376,0.248
S1_17,Horse Farm Down,10/11/2025,3:07 PM,42.37361475,-72.53945167,33.645,3.878,0.009,0.183,2.949,0.019,0.041,0.056,2.786,12.842,0.112,0.026,0.652,1.132,0.127,0.002,0.025,2.999,1.334,0.71,0.204,0.513,0.031,0.232,2.422,0.23,0.13,0.09,0.013,0.005,0.029,0.035,0.015,0.004,0.014,0.001,1.785,0.189,0.161,0.23,0.197
S1_18,,10/11/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1_19,,10/11/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1_20,,10/11/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2_1,,10/15/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2_2,,10/15/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2_3,,10/15/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2_4,,10/15/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2_5,,10/15/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2_6,,10/15/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2_7,,10/15/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2_8,,10/15/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2_9,,10/15/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2_10,,10/15/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2_11,,10/15/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2_12,,10/15/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2_13,,10/15/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2_14,,10/15/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2_15,,10/15/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2_16,,10/15/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2_17,,10/15/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
