Sample Name on LC/MS,Name,Date,Time,Latitude,Longitude,PFAS40,11Cl-PF3OUdS Results,3-3 FTCA Results,4:2FTS Results,5-3 FTCA Results,6:2FTS Results,7-3 FTCA Results,8:2FTS Results,9Cl-PF3ONS Results,ADONA Results,HFPO-DA Results,NEtFOSA Results,NEtFOSAA Results,NEtFOSE Results,NFDHA Results,NMeFOSA Results,NMeFOSAA Results,NMeFOSE Results,PFBA Results,PFBS Results,PFDA Results,PFDoA Results,PFDoS Results,PFDS Results,PFEESA Results,PFHpA Results,PFHpS Results,PFHxA Results,PFHxS Results,PFMBA Results,PFMPA Results,PFNA Results,PFNS Results,PFOA Results,PFOS Results,PFOSA Results,PFPeA Results,PFPeS Results,PFTeDA Results,PFTrDA Results,PFUnA Results
R_M26,Roaring,3/28/2026,10:37:00 AM,42.43856274,-72.48246791,5.99,0,0.04,0,0.11,0.05,0.15,0,0,0,0.04,0.4,0.16,0.45,0.08,0.3,0.41,0.44,0.19,0.16,0.03,0.03,0.03,0.01,0.01,0.1,0.01,0.22,0.35,0.01,0.01,0.44,0.02,0.63,0.73,0.02,0.24,0.03,0.01,0.07,0.01
D_M26,Doolittle,3/28/2026,10:56:00 AM,42.45106,-72.493,8.85,0,0.1,0,0.25,0.04,0.46,0.01,0.01,0,0.02,0.32,0.14,0.37,0.08,0.24,0.4,0.27,0.55,0.47,0.16,0.04,0.03,0.01,0,0.39,0.02,0.53,0.38,0,0.01,0.47,0.01,1.13,1.16,0.05,0.51,0.03,0.02,0.03,0.14
EU_M26,Eastman Up,3/28/2026,11:26:00 AM,42.41945045,-72.52550485,7.39,0,0.06,0,0.19,0.08,0,0.02,0,0.02,0.13,0.27,0.12,0.3,0.07,0.17,0.28,0.26,0.95,0.48,0.05,0.01,0,0.02,0,0.27,0.03,0.36,0.38,0.01,0.01,0.44,0.02,0.99,0.93,0.04,0.29,0.03,0.04,0.03,0.04
ED_M26,Eastman Down,3/28/2026,11:53:00 AM,42.40819679,-72.53988502,9.53,0,0.01,0,0.26,0.1,0.5,0.04,0.01,0.01,0.06,0.21,0.08,0.25,0.09,0.19,0.26,0.23,0.65,0.62,0.08,0.02,0,0.01,0.02,0.47,0.06,0.77,0.36,0,0.01,0.43,0.01,1.73,1.14,0.07,0.69,0.03,0.01,0.03,0.02
MS_M26,Mill Site,3/28/2026,12:45:00 PM,42.3864,-72.55032,17.44,0,0.01,0,0.26,2.86,0.17,0.07,0,0,0.07,0.33,0.06,0.32,0.12,0.16,0.35,0.23,1.26,1.14,0.09,0.03,0.01,0.01,0,0.81,0,2.08,0.6,0.01,0,0.51,0,2.53,1.28,0.05,1.89,0.06,0.04,0.01,0.02
K_M26,Knightly,3/28/2026,12:24:00 PM,42.39519696,-72.56118766,707.2,0,0.03,0,0.5,0.08,0.52,0.01,0.01,0.01,0.14,0.34,0.18,0.4,0.04,0.24,0.35,0.32,52.79,24.39,0.32,0.05,0.01,0.01,0.01,88.68,0.08,167.21,1.61,0.01,0.02,2.67,0.08,217.14,1.78,0.05,146.7,0.35,0.03,0.01,0.03
LW_M26,Lake Warner Outlet,3/28/2026,1:17:00 AM,42.38561951,-72.58144716,33.97,0,0.01,0,0.36,2.96,0.05,0.06,0.01,0.01,0.08,0.38,0.14,0.47,0.07,0.28,0.38,0.37,2.67,1.56,0.1,0.01,0,0.02,0.01,2.78,0.1,5.57,0.66,0.02,0,0.56,0,7.37,1.55,0.09,5.14,0.04,0.02,0.04,0.03
HD_M26,Horse Down,3/28/2026,2:02:00 PM,42.38495,-72.54642,24.72,0,0.03,0,0.36,0.69,0.18,0.03,0.01,0.01,0.09,0.25,0.15,0.34,0.06,0.16,0.31,0.27,1.22,3.04,0.21,0.06,0.01,0.02,0.01,1.64,0.08,3.47,1.22,0.02,0.01,0.79,0.01,3.71,2.13,0.34,3.47,0.22,0.02,0.03,0.05
HU_M26,Horse Up,3/28/2026,1:44:00 PM,42.37363,-72.53948,20.21,0,0.52,0,0.23,0.09,0.65,0.02,0,0,0.14,0.33,0.16,0.36,0.08,0.22,0.29,0.32,1.33,3.19,0.2,0.08,0.01,0.03,0.02,1.05,0.15,2,1.1,0.02,0.01,0.8,0.01,2.71,1.97,0.13,1.51,0.26,0.04,0.07,0.11
TU_M26,Tan Brook Up ,3/28/2026,9:29:00 AM,42.3824138,-72.5236866,38.72,0,0.11,0,0.1,0.11,0.06,0.02,0,0.01,0.09,0.42,0.23,0.57,0.08,0.3,0.27,0.5,3.52,5.38,0.16,0.02,0,0.03,0.01,2.44,0.15,4.55,1.73,0.02,0.01,1,0.02,7.27,4.46,0.12,4.21,0.69,0.01,0.02,0.03
