Sampling_Event,Sample_Name,Site_Name,Date,Time,Lat,Long,11Cl-PF3OUdS Results,3-3 FTCA Results,4:2FTS Results,5-3 FTCA Results,6:2FTS Results,7-3 FTCA Results,8:2FTS Results,9Cl-PF3ONS Results,ADONA Results,HFPO-DA Results,NEtFOSA Results,NEtFOSAA Results,NEtFOSE Results,NFDHA Results,NMeFOSA Results,NMeFOSAA Results,NMeFOSE Results,PFBA Results,PFBS Results,PFDA Results,PFDoA Results,PFDoS Results,PFDS Results,PFEESA Results,PFHpA Results,PFHpS Results,PFHxA Results,PFHxS Results,PFMBA Results,PFMPA Results,PFNA Results,PFNS Results,PFOA Results,PFOS Results,PFOSA Results,PFPeA Results,PFPeS Results,PFTeDA Results,PFTrDA Results,PFUnA Results
S1,S1_1,Wet Center,10/11/2025,8:53 AM,42.38820223,-72.53929542,0.013,0.017,0.149,0.798,2.309,0.142,0.02,0.01,0.003,0.068,0.172,0.131,0.206,0.068,0.164,0.1,0.193,2.544,1.628,0.095,0.095,0.002,0.01,0.006,2.118,0.093,4.88,1.081,0.008,0.01,1.047,0.015,4.664,2.09,0.321,4.335,0.157,0.036,0.045,0.019
S1,S1_2,MR Rec Area Picnic Table,10/11/2025,9:55 AM,42.41174901,-72.52841008,0.004,0.115,0.032,0.176,0.03,0.214,0.015,0.013,0.002,0.024,0.188,0.15,0.203,0.043,0.161,0.09,0.208,0.068,1.117,0.042,0.087,0.049,0.008,0.001,0.472,0.026,0.604,0.661,0.03,0.011,0.672,0.021,1.652,1.286,0.333,0.505,0.053,0.031,0.016,0.018
S1,S1_3,Puffers Waterfall,10/11/2025,10:38 AM,42.41571,-72.51936,0.008,0.071,0.033,0,0.015,0.111,0.021,0.007,0.004,0.1,0.241,0.122,0.195,0.061,0.192,0.135,0.218,0.097,0.576,0.011,0.045,0.008,0.016,0.022,0.57,0.046,0.584,0.492,0.009,0.007,0.711,0.009,1.443,1.079,0.541,0.487,0.065,0.021,0.027,0.053
S1,S1_4,Puffers Beach,10/11/2025,10:46 AM,42.41607,-72.51742,0.009,0.074,0.076,0.313,0.012,0.211,0,0.021,0.002,0.04,0.229,0.136,0.257,0.08,0.205,0.101,0.226,0.61,0.559,0.064,0.054,0,0,0.008,0.342,0.057,0.435,0.432,0.001,0.015,0.696,0.028,1.327,0.776,0.259,0.276,0.031,0.06,0.035,0.01
S1,S1_5,Upper Puffers Railroad,10/11/2025,10:59 AM,42.41676691,-72.50990743,0.009,0.09,0.061,0.425,0.019,0.375,0.069,0.006,0.003,0.035,0.356,0.133,0.3,0.058,0.233,0.106,0.261,0.124,0.348,0.029,0.106,0,0,0.009,0.233,0.022,0.337,0.442,0.004,0,0.791,0.016,1.591,0.926,0.303,0.317,0.037,0.053,0.077,0.009
S1,S1_6,Haskin Meadows (fishing spot),10/11/2025,11:57 AM,42.42912158,-72.49457164,0.002,0.041,0.034,0.141,0.038,0.264,0.048,0.018,0.003,0.048,0.209,0.15,0.216,0.046,0.182,0.124,0.234,0.574,0.364,0.044,0.076,0,0.003,0.002,0.338,0.019,0.345,0.554,0.003,0.016,0.556,0,1.503,0.803,0.371,0.311,0.066,0.024,0.004,0.016
S1,S1_7,Atkins Reservoir,10/11/2025,12:19 PM,42.41998532,-72.48228751,0,0.054,0.022,0.436,0.103,0.154,0.026,0.005,0.004,0.121,0.127,0.11,0.223,0.073,0.174,0.379,0.215,0.654,0.187,0.177,0.705,0.022,0.124,0.003,0.356,0.011,0.373,0.353,0.003,0.004,0.415,0.024,1.148,1.142,1.115,0.404,0.02,0.074,0.372,1.582
S1,S1_8,Roaring,10/11/2025,12:18 PM,42.43856274,-72.48246791,0,0.113,0.05,0.125,0.062,0.518,0.007,0.009,0.008,0.027,0.142,0.125,0.19,0.057,0.179,0.27,0.171,0.428,0.198,0.011,0.008,0.006,0.008,0.004,0.165,0.013,0.273,0.409,0.008,0.008,0.31,0.01,0.808,0.738,0.15,0.28,0.026,0.014,0.03,0.028
S1,S1_9,Broad Hil,10/11/2025,12:36 PM,42.44938891,-72.46629085,0.007,0.05,0.022,0.288,0.067,0.74,0.011,0.004,0.002,0.017,0.218,0.162,0.262,0.063,0.207,0.473,0.26,0.518,0.167,0.017,0.018,0.007,0.005,0.005,0.187,0.022,0.295,0.333,0.004,0.006,0.376,0.019,1.123,0.735,0.144,0.399,0.047,0.017,0.012,0.009
S1,S1_10,Shutesbury Cemetary,10/11/2025,12:48 PM,42.45460709,-72.4272845,0.001,0.061,0.031,0.666,0.058,0.607,0.022,0.005,0.006,0.07,0.187,0.152,0.271,0.044,0.204,0.399,0.23,0.254,0.486,0.178,0.022,0.001,0.021,0.004,0.6,0.053,0.728,0.521,0.007,0.011,0.592,0,2.294,1.575,0.891,1.195,0.056,0.017,0.011,0.057
