Sample_Name,Name,Date,Time,Lat,Long,2H,18O,17O
2194,Wet Center,10/11/2025,8:53 AM,42.38820223,-72.53929542,-48.98789,-7.505433,-3.611322
2195,Wet Center UP,10/11/2025,9:00 AM,42.38925667,-72.53934798,-49.104282,-7.552497,-3.61431
2196,Tan Brook Down,10/11/2025,9:14 AM,42.3912734,-72.5364652,-48.450591,-7.411673,-3.470583
2197,UMass Farm,10/11/2025,9:24 AM,42.40010901,-72.52574704,-42.906286,-6.887015,-3.150037
2198,MR Rec Area - Picnic tables,10/11/2025,9:55 AM,42.41174901,-72.52841008,-48.910681,-7.794977,-3.662333
2199,MR Rec Area - Baseball Field,10/11/2025,9:58 AM,42.41094247,-72.52631293,-48.841115,-7.822853,-3.72763
2200,MR Rec - Julius Lester Bridge,10/11/2025,10:03 AM,42.41158005,-72.5249658,-48.348432,-7.797851,-3.702519
2201,Lower MR Trail Bridge,10/11/2025,10:12 AM,42.41412,-72.5228,-48.071725,-7.831709,-3.706363
2202,Puffers Waterfall,10/11/2025,10:38 AM,42.41571,-72.51936,-48.366421,-7.958838,-3.760248
2203,Puffers Beach,10/11/2025,10:46 AM,42.41607,-72.51742,-50.252468,-8.253205,-3.975413
2204,Upper Puffers - Bridge,10/11/2025,10:54 AM,42.41583,-72.51217,-50.51806,-8.255784,-3.967923
2205,Upper Puffers - Railroad,10/11/2025,10:59 AM,42.41676691,-72.50990743,-50.455181,-8.266131,-3.952553
2206,Haskin Meadows -fishing spot,10/11/2025,11:57 AM,42.42912158,-72.49457164,-51.252082,-8.353361,-4.063671
2207,Haskin Meadows upstream,10/11/2025,12:04 PM,42.42961649,-72.49300474,-50.799577,-8.320035,-4.065657
2208,Atkins Reservoir,10/11/2025,12:19 PM,42.41998532,-72.48228751,-40.325465,-5.954212,-2.672796
2209,Roaring,10/11/2025,12:28 PM,42.43856274,-72.48246791,-53.08297,-8.797475,-4.323708
2210,Broad Hill,10/11/2025,12:36 PM,42.44938891,-72.46629085,-51.732556,-8.623332,-4.265313
2211,Shutesbury Cemetary,10/11/2025,12:48 PM,42.45460709,-72.4272845,-48.173458,-8.167176,-3.973693
2212,Doolittle,10/11/2025,1:10 PM,42.45111406,-72.49303401,-49.956672,-7.754194,-3.69354
2213,Leverett Library,10/11/2025,1:22 PM,42.46187717,-72.49582683,-52.791311,-8.399208,-4.052744
2214,Leverett Pond,10/11/2025,1:44 PM,42.46262232,-72.50511282,-24.90252,-2.520114,-0.793064
2215,Eastman Up,10/11/2025,1:55 PM,42.41935248,-72.5255505,-47.703224,-7.476295,-3.51955
2216,Eastman Down,10/11/2025,2:06 PM,42.40749,-72.53931,-50.810336,-8.115814,-3.943412
2217,Mill Site,10/11/2025,2:13 PM,42.3864,-72.55032,-48.295492,-7.789489,-3.711239
2218,Knightly,10/11/2025,2:20 PM,42.39515,-72.56174,-52.3424,-8.385228,-4.075179
2219,LW Boat Ramp,10/11/2025,2:27 PM,42.3858318,-72.58095566,-41.366062,-6.750631,-3.134985
2220,USFWS Visitors Parking,10/11/2025,2:45 PM,42.38396,-72.54902,-22.168867,-4.242685,-1.740684
2221,Prindle School,10/11/2025,2:51 PM,42.36442,-72.54051,-35.651869,-6.003818,-2.789595
2222,Horse Farm Down,10/11/2025,3:07 PM,42.37361475,-72.53945167,-31.846681,-5.293378,-2.371389
2223,Umass Stadium,10/11/2025,3:14 PM,42.37626,-72.54026,-47.612416,-7.362767,-3.539972
2224,Tan Brook Up,10/11/2025,3:24 PM,42.3824138,-72.5236866,-51.07622,-8.126253,-3.968881
2225,Fieldstone,10/11/2025,3:29 PM,42.3842276,-72.5248678,-50.282555,-7.97758,-3.944998
2226,Wildwood Cemetary,10/11/2025,3:39 PM,42.3884533,-72.5143713,-17.141965,-1.51356,-0.368623
2227,Campus Pond Up,10/11/2025,3:47 PM,42.3885239,-72.5264238,-45.562205,-7.146046,-3.471235
2228,Campus Pond Down,10/11/2025,3:51 PM,42.3902239,-72.5266666,-41.630391,-6.582862,-3.132073
