,Location,Date,End Date (if bulk sample),Time,Replicate,Collecter,Type,Project,Comment,"This cell checks to make sure the ID and the Sample Name match - If its blank, its good!",Analyzed on Machine,Sample Name,Processed Delta 2H,Processed Delta 2H StDev,Processed Delta 18O,Processed Delta 18O StDev,Processed Delta 17O,Processed Delta 17O StDev,Comments
2229,Wet Center,10/12/2025,,12:15 PM,1,RV,Stream,Stream_Storm,Storm 15. Sample #1,,10/16/2025,2229,-50.215061,7.43E-01,-8.009594,7.05E-02,-3.859979,4.43E-02,
2230,Wet Center,10/12/2025,,3:15 PM,1,RV,Stream,Stream_Storm,Storm 15. Sample #2,,10/16/2025,2230,-49.490976,1.52E-01,-7.844801,5.36E-02,-3.774133,3.70E-02,
2231,Wet Center,10/12/2025,,6:15 PM,1,RV,Stream,Stream_Storm,Storm 15. Sample #3,,10/16/2025,2231,-48.892477,5.84E-01,-7.785773,7.55E-02,-3.754149,5.11E-02,
2232,Wet Center,10/12/2025,,9:15 PM,1,RV,Stream,Stream_Storm,Storm 15. Sample #4,,10/16/2025,2232,-43.259897,9.17E-01,-7.156622,1.47E-01,-3.349683,1.01E-01,
2233,Wet Center,10/13/2025,,12:15 AM,1,RV,Stream,Stream_Storm,Storm 15. Sample #5,,10/16/2025,2233,-45.111595,7.60E-01,-7.369907,1.17E-01,-3.412706,6.40E-02,
2234,Wet Center,10/13/2025,,3:15 AM,1,RV,Stream,Stream_Storm,Storm 15. Sample #6,,10/16/2025,2234,-59.782563,4.14E-01,-9.079862,2.20E-02,-4.370142,4.75E-02,
2235,Wet Center,10/13/2025,,6:15 AM,1,RV,Stream,Stream_Storm,Storm 15. Sample #7,,10/16/2025,2235,-50.150767,5.68E-01,-7.798668,9.71E-02,-3.778367,4.03E-02,
2236,Wet Center,10/13/2025,,9:15 AM,1,RV,Stream,Stream_Storm,Storm 15. Sample #8,,10/16/2025,2236,-51.543112,4.62E-01,-8.035792,9.49E-02,-3.89217,5.31E-02,
2237,Wet Center,10/13/2025,,12:15 PM,1,RV,Stream,Stream_Storm,Storm 15. Sample #9,,10/16/2025,2237,-49.651111,4.84E-01,-7.818284,9.32E-02,-3.769718,5.04E-02,
2238,Wet Center,10/13/2025,,3:15 PM,1,RV,Stream,Stream_Storm,Storm 15. Sample #10,,10/16/2025,2238,-51.353341,5.58E-01,-8.099819,4.07E-02,-3.896492,5.63E-02,
2239,Wet Center,10/13/2025,,6:15 PM,1,RV,Stream,Stream_Storm,Storm 15. Sample #11,,10/16/2025,2239,-50.221756,6.34E-01,-7.957777,6.65E-02,-3.850068,6.24E-02,
2240,Wet Center,10/13/2025,,9:15 PM,1,RV,Stream,Stream_Storm,Storm 15. Sample #12,,10/16/2025,2240,-49.734661,3.43E-01,-7.885768,4.97E-02,-3.800605,4.56E-02,
2241,Wet Center,10/14/2025,,12:15 AM,1,RV,Stream,Stream_Storm,Storm 15. Sample #13,,10/16/2025,2241,-49.609326,2.01E+00,-7.855489,1.99E-01,-3.854481,1.12E-01,
2242,Wet Center,10/14/2025,,3:15 AM,1,RV,Stream,Stream_Storm,Storm 15. Sample #14,,10/16/2025,2242,-49.900713,3.73E-01,-7.944981,9.22E-02,-3.812265,4.64E-02,
2243,Wet Center,10/14/2025,,6:15 AM,1,RV,Stream,Stream_Storm,Storm 15. Sample #15,,10/16/2025,2243,-50.120723,2.84E-01,-7.927515,1.98E-02,-3.852741,4.98E-02,
2244,Wet Center,10/14/2025,,9:15 AM,1,RV,Stream,Stream_Storm,Storm 15. Sample #16,,10/16/2025,2244,-50.326311,1.42E+00,-7.961769,1.81E-01,-3.892092,1.20E-01,
2245,Wet Center,10/14/2025,,12:15 PM,1,RV,Stream,Stream_Storm,Storm 15. Sample #17,,10/16/2025,2245,-48.006368,3.20E+00,-7.785327,3.21E-01,-3.728038,2.18E-01,
2246,Wet Center,10/14/2025,,3:15 PM,1,RV,Stream,Stream_Storm,Storm 15. Sample #18,,10/16/2025,2246,-50.525857,7.31E-01,-7.985573,9.46E-02,-3.918093,4.48E-02,
2247,Wet Center,10/14/2025,,6:15 PM,1,RV,Stream,Stream_Storm,Storm 15. Sample #19,,10/16/2025,2247,-50.286719,3.74E-01,-8.082212,5.35E-02,-3.890745,2.43E-02,
2248,Wet Center,10/14/2025,,9:15 PM,1,RV,Stream,Stream_Storm,Storm 15. Sample #20,,10/16/2025,2248,-49.898605,5.64E-01,-7.983703,1.08E-01,-3.950223,6.80E-02,
2249,Wet Center,10/15/2025,,12:15 AM,1,RV,Stream,Stream_Storm,Storm 15. Sample #21,,10/16/2025,2249,-50.299643,1.33E+00,-8.107814,1.44E-01,-3.946942,7.01E-02,
2250,Wet Center,10/15/2025,,3:15 AM,1,RV,Stream,Stream_Storm,Storm 15. Sample #22,,10/16/2025,2250,-50.147053,1.24E+00,-8.047568,1.82E-01,-3.705798,1.36E-01,
2251,Wet Center,10/15/2025,,6:15 AM,1,RV,Stream,Stream_Storm,Storm 15. Sample #23,,10/16/2025,2251,-50.022208,5.52E-01,-8.082289,5.67E-02,-3.728593,6.40E-02,
2252,Wet Center,10/15/2025,,9:15 AM,1,RV,Stream,Stream_Storm,Storm 15. Sample #24,,10/16/2025,2252,-50.276736,5.24E-01,-8.101786,2.83E-02,-3.745402,1.82E-02,
