,Date,Time ,2H,18O,17O,DOC,TOC,DN,TN,UV254,Lithium,Sodium,Ammonium,Potassium,Magnesium,Calcium,Flouride,Chlorite,Bromate,Chloride,Nitrite,Bromide,Chlorate,Nitrate,Phosphate,Sulfate,PFBA Results,PFMPA Results,3-3 FTCA Results,PFPeA Results,PFMBA Results,4:2FTS Results,NFDHA Results,PFHxA Results,PFBS Results,HFPO-DA Results,PFEESA Results,5-3 FTCA Results,PFHpA Results,PFPeS Results,ADONA Results,6:2FTS Results,PFOA Results,PFHxS Results,PFNA Results,PFHpS Results,7-3 FTCA Results,8:2FTS Results,PFDA Results,PFOS Results,NMeFOSAA Results,PFUnA Results,NEtFOSAA Results,9Cl-PF3ONS Results,PFNS Results,PFDoA Results,PFDS Results,PFTrDA Results,11Cl-PF3OUdS Results,PFTeDA Results,PFDoS Results,PFOSA Results,NMeFOSE Results,NMeFOSA Results,NEtFOSE Results,NEtFOSA Results
1,10/12/2025,12:15PM,-50.215061,-8.009594,-3.859979,2.5985,5.045,,,,,,,,,,,,,,,,,,,,2.365,0.013,0.147,3.867,0.006,0.093,0.079,4.373,1.29,0.034,0.001,0.455,1.932,0.116,0,2.253,3.841,0.966,1.026,0.031,0.38,0.058,0.047,1.852,0.113,0.016,0.113,0.004,0.012,0.115,0.008,0.023,0.022,0.053,0,0.256,0.203,0.123,0.211,0.164
2,10/12/2025,3:15PM,-49.490976,-7.844801,-3.774133,2.685,3.6975,1.04,1.083,0.081715193,0.0205,31.9265,,2.2335,4.2195,16.702,,,,48.919,0.438,,,3.768,,12.7485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10/12/2025,6:15PM,-48.892477,-7.785773,-3.754149,2.812,2.892,,,,,,,,,,,,,,,,,,,,2.823,0.027,0.251,4.103,0.004,0.084,0.076,4.931,1.571,0.091,0.016,1.065,2.107,0.136,0.01,2.838,4.071,1.057,0.954,0.056,0.358,0.029,0.098,2.316,0.212,0.03,0.248,0.006,0.005,0.032,0.015,0.017,0.005,0.065,0.017,0.186,0.451,0.371,0.558,0.286
4,10/12/2025,9:15PM,-43.259897,-7.156622,-3.349683,3.3355,3.5305,1.0135,1.068,0.099139024,0.014,32.6315,,2.1215,3.9525,16.047,,,,49.8025,,,,3.757,,10.9935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10/13/2025,12:15AM,-45.111595,-7.369907,-3.412706,2.92,3.17,,,,,,,,,,,,,,,,,,,,5.754,0.022,0.653,4.725,0,0.071,0.071,6.706,1.698,0.032,0.007,1.102,2.199,0.166,0.015,2.837,4.307,1.514,1.446,0.046,1.069,0.017,0.348,2.999,0.12,0.109,0.281,0.036,0.089,0.142,0.034,0.01,0.011,0.031,0.016,0.234,0.359,0.203,0.391,0.174
6,10/13/2025,3:15AM,-59.782563,-9.079862,-4.370142,2.306,2.4425,0.5448,0.58125,0.068409458,0.012,27.7615,,1.7105,2.4435,11.951,,,,39.9805,,,,2.1315,,7.962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10/13/2025,6:15AM,-50.150767,-7.798668,-3.778367,3.0065,3.263,,,,,,,,,,,,,,,,,,,,5.139,0.022,0.326,5.036,0.011,0.078,0.053,5.947,2.755,0.102,0.007,1.292,2.131,0.149,0.003,0.82,6.213,1.512,1.557,0.097,0.694,0.009,0.256,3.647,0.117,0.119,0.255,0.011,0.061,0.111,0.038,0.078,0.01,0.027,0.014,0.45,0.273,0.138,0.248,0.126
8,10/13/2025,9:15AM,-51.543112,-8.035792,-3.89217,3.3055,3.4165,0.53115,0.54925,0.100778345,0.012,36.0945,,2.396,3.2055,14.779,,,,52.8495,,,,1.8725,,10.0675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10/13/2025,12:15PM,-49.651111,-7.818284,-3.769718,3.6075,4.345,,,,,,,,,,,,,,,,,,,,3.205,0.01,0.124,3.264,0.006,0.067,0.071,3.192,1.725,0.137,0.002,0.596,1.484,0.183,0.034,0.877,3.774,1.008,1.477,0.088,1.447,0.018,0.169,2.497,0.146,0.047,0.176,0.025,0.024,0.061,0.03,0.037,0.004,0.033,0.002,0.311,0.411,0.244,0.343,0.212
10,10/13/2025,3:15PM,-51.353341,-8.099819,-3.896492,3.5535,4.192,0.47875,0.5103,0.106829796,0.012,24.3565,,2.202,2.934,12.8305,,,,35.69,,,,1.6935,,10.1785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,10/13/2025,6:15PM,-50.221756,-7.957777,-3.850068,3.458,,,,,,,,,,,,,,,,,,,,,1.875,0.006,0.391,1.754,0.009,0.041,0.053,2.136,1.117,0.062,0.003,0.651,1.046,0.108,0.001,0.747,2.471,0.799,1.226,0.023,0.752,0.015,0.097,1.659,0.066,0.033,0.096,0.008,0.029,0.077,0.01,0.038,0.012,0.066,0,0.25,0.225,0.131,0.218,0.137
12,10/13/2025,9:15PM,-49.734661,-7.885768,-3.800605,3.2765,6.288,0.3829,0.41535,0.09993675,,20.472,,1.85,2.6885,11.502,,,,29.3005,,,,1.3895,,9.2145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,10/14/2025,12:15AM,-49.609326,-7.855489,-3.854481,3.359,3.958,,,,,,,,,,,,,,,,,,,,1.746,0.019,0.147,1.737,0.005,0.072,0.067,2.16,0.894,0.044,0.005,0.162,1.082,0.084,0,0.779,2.537,0.728,2.119,0.036,0.294,0.024,0.089,1.693,0.131,0.05,0.191,0.016,0.021,0.117,0.017,0.057,0.015,0.096,0.028,0.183,0.426,0.258,0.442,0.341
14,10/14/2025,3:15AM,-49.900713,-7.944981,-3.812265,3.1625,3.264,0.4421,0.4631,0.101137862,,20.778,,1.866,2.775,11.767,,,,29.966,,,,1.552,,9.3385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,10/14/2025,6:15AM,-50.120723,-7.927515,-3.852741,3.0865,3.152,,,,,,,,,,,,,,,,,,,,1.669,0.023,0.062,1.807,0.001,0.078,0.061,1.965,1.02,0.032,0.012,0.254,0.967,0.059,0.004,0.878,2.881,0.75,1.031,0.071,0.37,0.018,0.036,1.642,0.099,0.04,0.14,0.021,0.012,0.066,0,0.043,0.005,0.022,0.007,0.217,0.289,0.171,0.304,0.18
16,10/14/2025,9:15AM,-50.326311,-7.961769,-3.892092,2.839,3.1715,0.5277,0.5692,0.115276925,,22.511,,1.917,3.0305,12.6985,,,,33.075,,,,1.916,,9.974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
