Date,Time,GaugeHeight (ft)
10/24/25,10:00 AM,1.2
10/31/25,8:49 AM,3.16
11/03/25,6:00 PM,1.27
11/04/25,1:26 PM,1.26
11/05/25,2:20 PM,1.2
11/07/25,8:43 AM,1.15
11/14/25,8:27 AM,
11/21/25,6:45 AM,
11/28/25,12:10 PM,
12/12/25,10:40 AM,1.22
12/19/25,9:56 AM,1.52
1/10/26,1:33 PM,1.6
1/20/26,2:12 PM,
1/23/26,4:18 PM,
1/29/26,9:25 AM,1.6
2/16/26,11:06 AM,1.2
2/27/26,8:30 AM,1.05
3/4/26,9:55 AM,1.5
03/09/26,2:37 PM,2.6
3/16/26,3:40 PM,3.6
3/23/26,2:30 PM,2.45
3/30/26,4:10 PM,1.9
4/6/26,8:08 AM,1.89
