Time,Raw Gauge Height,Adjusted Gauge Height
4/25/2025 17:00,13.341,0.65052
4/25/2025 17:15,13.341,0.65052
4/25/2025 17:30,13.339,0.64852
4/25/2025 17:45,13.339,0.64852
4/25/2025 18:00,13.343,0.65252
4/25/2025 18:15,13.343,0.65252
4/25/2025 18:30,13.339,0.64852
4/25/2025 18:45,13.339,0.64852
4/25/2025 19:00,13.339,0.64852
4/25/2025 19:15,13.338,0.64752
4/25/2025 19:30,13.339,0.64852
4/25/2025 19:45,13.341,0.65052
4/25/2025 20:00,13.338,0.64752
4/25/2025 20:15,13.338,0.64752
4/25/2025 20:30,13.338,0.64752
4/25/2025 20:45,13.336,0.64552
4/25/2025 21:00,13.336,0.64552
4/25/2025 21:15,13.336,0.64552
4/25/2025 21:30,13.336,0.64552
4/25/2025 21:45,13.334,0.64352
4/25/2025 22:00,13.334,0.64352
4/25/2025 22:15,13.334,0.64352
4/25/2025 22:30,13.334,0.64352
4/25/2025 22:45,13.332,0.64152
4/25/2025 23:00,13.332,0.64152
4/25/2025 23:15,13.332,0.64152
4/25/2025 23:30,13.332,0.64152
4/25/2025 23:45,13.332,0.64152
4/26/2025 0:00,13.332,0.64152
4/26/2025 0:15,13.332,0.64152
4/26/2025 0:30,13.332,0.64152
4/26/2025 0:45,13.332,0.64152
4/26/2025 1:00,13.332,0.64152
4/26/2025 1:15,13.334,0.64352
4/26/2025 1:30,13.334,0.64352
4/26/2025 1:45,13.345,0.65452
4/26/2025 2:00,13.373,0.68252
4/26/2025 2:15,13.415,0.72452
4/26/2025 2:30,13.464,0.77352
4/26/2025 2:45,13.52,0.82952
4/26/2025 3:00,13.557,0.86652
4/26/2025 3:15,13.608,0.91752
4/26/2025 3:30,13.618,0.92752
4/26/2025 3:45,13.629,0.93852
4/26/2025 4:00,13.62,0.92952
4/26/2025 4:15,13.615,0.92452
4/26/2025 4:30,13.618,0.92752
4/26/2025 4:45,13.624,0.93352
4/26/2025 5:00,13.627,0.93652
4/26/2025 5:15,13.631,0.94052
4/26/2025 5:30,13.631,0.94052
4/26/2025 5:45,13.632,0.94152
4/26/2025 6:00,13.632,0.94152
4/26/2025 6:15,13.632,0.94152
4/26/2025 6:30,13.631,0.94052
4/26/2025 6:45,13.629,0.93852
4/26/2025 7:00,13.632,0.94152
4/26/2025 7:15,13.641,0.95052
